title,Batré Manajer Lite béda
extend_life,Cara anu pangsaéna pikeun manjangkeun umur batre sareng ngajaga anjeun séhat dumasar kana pangalaman sareng panalungtikan ilmiah.
measured,Dina cara anu transparan kami ngan ukur nunjukkeun anjeun data anu diukur sareng kumaha ngitungna.
healthy,Tetep batré Anjeun cageur
double_battery,Gandakeun umur batre anjeun ku henteu ngeusi batre sapinuhna. Élmuwan geus ngabuktikeun ieu dina panalungtikan maranéhanana.
charge_limit,Nganggo béwara wates muatan kami, béwara bakal dikirim nalika batréna ngahontal ambang anu ditetepkeun ku pangguna.
smart,Éta janten langkung pinter unggal dinten
analyze,Beuki lila anjeun ngagunakeun Battery Manager Lite, urang bakal leuwih hadé dina nganalisa kinerja batré anjeun.
update_every_time,Pangukuran umur batre sésana diropéa unggal waktos anjeun nganggo atanapi ngeusi batre alat anjeun.
runtime,Panggihan runtime sabenerna batré Anjeun
discharge_cycle,Unggal waktos telepon anjeun ngaliwat siklus pangecualian, estimasi akurat ngeunaan waktos jalanna tiasa diukur.
accurate_life,Anggo Battery Manager Lite pikeun ngukur umur batre anu akurat.
no_exit,Ulah kaluar Batre Manager Lite!
bg_require,Pangatur Batré Lite butuh jasa latar tukang pikeun ngumpulkeun statistik batré sareng ngukur ngeusi batre sareng waktos nyéépkeun. Alat anjeun kamungkinan ngeureunkeun jasa atanapi henteu ngijinkeun jalan nalika aplikasi ditutup. Pikeun ngahindarkeun ieu, kami gaduh solusi anu saé pikeun anjeun. Ngan klik dina link.
man,Manual
cali,Kalibrasi
polarity,Dina léngkah ieu, aplikasi ngadeteksi polaritasna ngecas sareng kapasitas desain batré anjeun.
disch,Ngaluarkeun
ch_pol,Ngecas polaritasna
power_meter,Méter kakuatan
unit_mesure,Unit pangukuran
capacity,Kapasitas batré
wrong,Henteu leres?
calib,Kalibrasi
ye,Sumuhun
no,No
neg,Negatip
pos,Positip
lunch,Ngajalankeun App
manufac,Kapasitas nurutkeun produsén
design_des,Kapasitas desain nyaéta kapasitas batré anu sabenerna, diukur dina mAh. Kusabab teu aya cara resmi pikeun nangtukeun kapasitas, nilai anu dipulangkeun tiasa lepat.
correct_it,Upami kapasitas anu ditampilkeun henteu leres, punten lereskeun.
cancel,Ngabolaykeun
ok,Oké
runtime,Batré Runtime
wait,ngantosan
per_hr,Konsumsi batré per jam
life_for,hirup batré pikeun
battery_cond,kaayaan batré
bat_info,Inpo batré
bat_cap,Kapasitas batré
bat_volt,tegangan batré
bat_cur,Batré ayeuna
unit_mes,Unit pangukuran
done,Réngsé
c_bat_temp,Suhu Batré Ayeuna
min_bat_tem,Suhu batré minimum
mx_bat_tem,Suhu batré maksimum
avg_bat_tem,Suhu batré rata
dig_last,diagnosis panungtungan saméméh
rem_time,Waktos sésana
volt,Voltaseu
curr,ayeuna
status,Status
run_time,waktos ngajalankeun
currently,Ayeuna
avg,Rata-rata
minmal,Minimal
maximal,maksimal
tool,Parabot
rem_apps,Copot pamasangan aplikasi anu anjeun teu dianggo deui pikeun nyegah aplikasi teu dipikabutuh sareng ngabocorkeun batré anjeun
uninst_apps,Uninstall Aplikasi
stat,Mimitian
act_eng_save,Aktipkeun mode hemat energi pikeun ngurangan pamakean batre
pow_save,Modeu hemat daya
tempe,Suhu
heal,Kaséhatan
tips,Jaga Batré anjeun dina kaayaan saé kalayan tip sareng trik.
recomm,Rekomendasi
prem,Premium
more_func,Langkung seueur fungsi pikeun anjeun. Kéngingkeun premium, kéngingkeun langkung seueur.
more,Tambih deui
