title,Battery Manager Lite គឺខុសគ្នា
extend_life,មធ្យោបាយដ៏ល្អបំផុតដើម្បីពង្រីកអាយុកាលថ្ម និងរក្សាសុខភាពរបស់អ្នកគឺផ្អែកលើបទពិសោធន៍ និងការស្រាវជ្រាវវិទ្យាសាស្ត្រ។
measured,តាមរបៀបដែលមានតម្លាភាព យើងគ្រាន់តែបង្ហាញអ្នកនូវទិន្នន័យដែលបានវាស់វែងពិតប្រាកដ និងរបៀបដែលវាត្រូវបានគណនា។
healthy,រក្សាថ្មរបស់អ្នកឱ្យមានសុខភាពល្អ
double_battery,បង្កើន​អាយុកាល​ថ្ម​របស់អ្នក​ទ្វេដង​ដោយ​មិន​សាកថ្ម​ពេញ។ អ្នកវិទ្យាសាស្ត្របានបង្ហាញពីរឿងនេះនៅក្នុងការស្រាវជ្រាវរបស់ពួកគេ។
charge_limit,ដោយប្រើការជូនដំណឹងអំពីដែនកំណត់នៃការគិតថ្លៃរបស់យើង ការជូនដំណឹងនឹងត្រូវបានផ្ញើនៅពេលដែលថ្មឈានដល់កម្រិតកំណត់ដោយអ្នកប្រើប្រាស់។
smart,វាកាន់តែឆ្លាតវៃជារៀងរាល់ថ្ងៃ
analyze,នៅពេលដែលអ្នកប្រើប្រាស់ Battery Manager Lite យូរជាងនេះ យើងនឹងទទួលបានការវិភាគអំពីដំណើរការថ្មរបស់អ្នក។
update_every_time,ការវាស់វែងអាយុកាលថ្មដែលនៅសល់ត្រូវបានធ្វើបច្ចុប្បន្នភាពរាល់ពេលដែលអ្នកប្រើ ឬសាកថ្មឧបករណ៍របស់អ្នក។
runtime,ស្វែងយល់ពីពេលវេលាដំណើរការពិតប្រាកដនៃថ្មរបស់អ្នក។
discharge_cycle,រាល់ពេលដែលទូរសព្ទរបស់អ្នកឆ្លងកាត់វដ្តទឹក ការប៉ាន់ប្រមាណត្រឹមត្រូវនៃពេលវេលាដំណើរការរបស់វាអាចត្រូវបានវាស់វែង។
accurate_life,ប្រើកម្មវិធីគ្រប់គ្រងថ្ម Lite ដើម្បីវាស់អាយុកាលថ្មត្រឹមត្រូវ។
no_exit,កុំចេញពី Battery Manager Lite!
bg_require,កម្មវិធីគ្រប់គ្រងថ្ម Lite ទាមទារសេវាកម្មផ្ទៃខាងក្រោយដើម្បីប្រមូលស្ថិតិថ្ម និងវាស់ការសាកថ្ម និងពេលវេលាបញ្ចេញ។ ឧបករណ៍របស់អ្នកទំនងជាបញ្ឈប់សេវាកម្ម ឬមិនអនុញ្ញាតឱ្យវាដំណើរការនៅពេលដែលកម្មវិធីបិទ។ ដើម្បីជៀសវាងបញ្ហានេះ យើងមានដំណោះស្រាយដ៏ល្អសម្រាប់អ្នក។ គ្រាន់តែចុចលើតំណ។
man,ហត្ថកម្ម
cali,ការក្រិតតាមខ្នាត
polarity,ក្នុង​ជំហាន​នេះ កម្មវិធី​អាច​រក​ឃើញ​ប៉ូលា​នៃ​ការ​សាកថ្ម និង​សមត្ថភាព​រចនា​នៃ​ថ្ម​របស់​អ្នក។
disch,ការឆក់
ch_pol,ការសាកថ្មរាងប៉ូល។
power_meter,ឧបករណ៍វាស់ថាមពល
unit_mesure,ឯកតារង្វាស់
capacity,សមត្ថភាពថ្ម
wrong,មិនត្រឹមត្រូវ?
calib,ក្រិតតាមខ្នាត
ye,បាទ
no,ទេ
neg,អវិជ្ជមាន
pos,វិជ្ជមាន
lunch,បើកដំណើរការកម្មវិធី
manufac,សមត្ថភាពយោងទៅតាមក្រុមហ៊ុនផលិត
design_des,សមត្ថភាពរចនាគឺជាសមត្ថភាពថ្មពិតប្រាកដ វាស់ជា mAh។ ដោយសារមិនមានវិធីផ្លូវការដើម្បីកំណត់សមត្ថភាព តម្លៃដែលបានត្រឡប់មកវិញអាចខុស។
correct_it,ប្រសិនបើសមត្ថភាពដែលបានបង្ហាញមិនត្រឹមត្រូវ សូមកែតម្រូវវា។
cancel,បោះបង់
ok,យល់ព្រម
runtime,រយៈពេលដំណើរការថ្ម
wait,រង់ចាំ
per_hr,ការប្រើប្រាស់ថ្មក្នុងមួយម៉ោង
life_for,អាយុកាលថ្មសម្រាប់
battery_cond,ស្ថានភាពថ្ម
bat_info,ព័ត៌មានអំពីថ្ម
bat_cap,សមត្ថភាពថ្ម
bat_volt,វ៉ុលថ្ម
bat_cur,ចរន្តថ្ម
unit_mes,ឯកតារង្វាស់
done,រួចរាល់
c_bat_temp,សីតុណ្ហភាពថ្មបច្ចុប្បន្ន
min_bat_tem,សីតុណ្ហភាពថ្មអប្បបរមា
mx_bat_tem,សីតុណ្ហភាពថ្មអតិបរមា
avg_bat_tem,សីតុណ្ហភាពថ្មជាមធ្យម
dig_last,ការធ្វើរោគវិនិច្ឆ័យចុងក្រោយ
rem_time,ពេលវេលាដែលនៅសល់
volt,វ៉ុល
curr,នា​ពេល​បច្ចុប្បន្ន
status,ស្ថានភាព
run_time,ម៉ោង​ដំណើរការ
currently,បច្ចុប្បន្ន
avg,មធ្យម
minmal,តិចតួចបំផុត។
maximal,អតិបរមា
tool,ឧបករណ៍
rem_apps,លុបកម្មវិធីដែលអ្នកលែងប្រើ ដើម្បីការពារកម្មវិធីកុំឱ្យដំណើរការដោយមិនចាំបាច់ និងអស់ថ្ម
uninst_apps,លុបកម្មវិធី
stat,ចាប់ផ្តើម
act_eng_save,បើកដំណើរការរបៀបសន្សំថាមពល ដើម្បីកាត់បន្ថយការប្រើប្រាស់ថ្ម
pow_save,របៀបសន្សំថាមពល
tempe,សីតុណ្ហភាព
heal,សុខភាព
tips,រក្សាថ្មរបស់អ្នកឱ្យស្ថិតក្នុងស្ថានភាពល្អជាមួយនឹងគន្លឹះ និងល្បិច។
recomm,អនុសាសន៍
prem,បុព្វលាភ
more_func,មុខងារជាច្រើនទៀតសម្រាប់អ្នក។ ទទួលបានបុព្វលាភ ទទួលបានកាន់តែច្រើន។
more,ច្រើនទៀត
ur_cond_bat,ស្ថានភាពថ្មគឺ
ur_bat_life,អាយុកាលថ្មរបស់អ្នក។
ur_bat_temp,សីតុណ្ហភាពថ្មរបស់អ្នកគឺ
wow,ល្អឥតខ្ចោះ
normal,ធម្មតា។
poor,អន់
days,ថ្ងៃ
mins,នាទី
hrs,ម៉ោង
chging,សាកថ្ម
ful,ពេញ
dis_chrg,ការឆក់
unkn,មិនស្គាល់
too_lit,ទិន្នន័យថ្មតិចពេក
car_any,អនុវត្តយ៉ាងណាក៏ដោយ
endz_,ចប់
dig_any,ដើម្បីទទួលបានលទ្ធផលវិនិច្ឆ័យប្រសើរជាងមុន កម្មវិធីត្រូវវិភាគថ្មរបស់អ្នកនៅផ្ទៃខាងក្រោយ។ សូមចាប់ផ្តើមការធ្វើរោគវិនិច្ឆ័យបន្ទាប់ពី 24 ម៉ោង។
end_dig,ការធ្វើរោគវិនិច្ឆ័យបញ្ចប់
quit_dig,ពិតជាឈប់ធ្វើរោគវិនិច្ឆ័យ
