title,ಬ್ಯಾಟರಿ ಮ್ಯಾನೇಜರ್ ಲೈಟ್ ವಿಭಿನ್ನವಾಗಿದೆ
extend_life,ಅನುಭವ ಮತ್ತು ವೈಜ್ಞಾನಿಕ ಸಂಶೋಧನೆಯ ಆಧಾರದ ಮೇಲೆ ಬ್ಯಾಟರಿ ಅವಧಿಯನ್ನು ವಿಸ್ತರಿಸಲು ಮತ್ತು ನಿಮ್ಮನ್ನು ಆರೋಗ್ಯವಾಗಿಡಲು ಉತ್ತಮ ಮಾರ್ಗವಾಗಿದೆ.
measured,ಪಾರದರ್ಶಕ ರೀತಿಯಲ್ಲಿ ನಾವು ನಿಮಗೆ ನಿಜವಾಗಿ ಅಳತೆ ಮಾಡಿದ ಡೇಟಾವನ್ನು ಮತ್ತು ಅದನ್ನು ಹೇಗೆ ಲೆಕ್ಕ ಹಾಕುತ್ತೇವೆ ಎಂಬುದನ್ನು ಮಾತ್ರ ತೋರಿಸುತ್ತೇವೆ.
healthy,ನಿಮ್ಮ ಬ್ಯಾಟರಿಯನ್ನು ಆರೋಗ್ಯಕರವಾಗಿರಿಸಿಕೊಳ್ಳಿ
double_battery,ನಿಮ್ಮ ಬ್ಯಾಟರಿಯನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ಚಾರ್ಜ್ ಮಾಡದೆ ಇರುವ ಮೂಲಕ ನಿಮ್ಮ ಬ್ಯಾಟರಿ ಅವಧಿಯನ್ನು ದ್ವಿಗುಣಗೊಳಿಸಿ. ವಿಜ್ಞಾನಿಗಳು ತಮ್ಮ ಸಂಶೋಧನೆಯಲ್ಲಿ ಇದನ್ನು ಸಾಬೀತುಪಡಿಸಿದ್ದಾರೆ.
charge_limit,ನಮ್ಮ ಚಾರ್ಜ್ ಮಿತಿ ಅಧಿಸೂಚನೆಯನ್ನು ಬಳಸಿಕೊಂಡು, ಬ್ಯಾಟರಿಯು ಬಳಕೆದಾರ-ವ್ಯಾಖ್ಯಾನಿತ ಮಿತಿಯನ್ನು ತಲುಪಿದಾಗ ಅಧಿಸೂಚನೆಯನ್ನು ಕಳುಹಿಸಲಾಗುತ್ತದೆ.
smart,ಇದು ಪ್ರತಿದಿನ ಚುರುಕಾಗುತ್ತದೆ
analyze,ನೀವು ಬ್ಯಾಟರಿ ಮ್ಯಾನೇಜರ್ ಲೈಟ್ ಅನ್ನು ಹೆಚ್ಚು ಸಮಯ ಬಳಸಿದರೆ, ನಿಮ್ಮ ಬ್ಯಾಟರಿಯ ಕಾರ್ಯಕ್ಷಮತೆಯನ್ನು ನಾವು ಉತ್ತಮವಾಗಿ ವಿಶ್ಲೇಷಿಸುತ್ತೇವೆ.
update_every_time,ನಿಮ್ಮ ಸಾಧನವನ್ನು ನೀವು ಬಳಸುವಾಗ ಅಥವಾ ಚಾರ್ಜ್ ಮಾಡಿದಾಗ ಉಳಿದ ಬ್ಯಾಟರಿ ಬಾಳಿಕೆ ಮಾಪನವನ್ನು ನವೀಕರಿಸಲಾಗುತ್ತದೆ.
runtime,ನಿಮ್ಮ ಬ್ಯಾಟರಿಯ ನಿಜವಾದ ರನ್ಟೈಮ್ ಅನ್ನು ಅನ್ವೇಷಿಸಿ
discharge_cycle,ಪ್ರತಿ ಬಾರಿ ನಿಮ್ಮ ಫೋನ್ ಡಿಸ್ಚಾರ್ಜ್ ಸೈಕಲ್ ಮೂಲಕ ಹೋದರೆ, ಅದರ ರನ್ಟೈಮ್ನ ನಿಖರವಾದ ಅಂದಾಜನ್ನು ಅಳೆಯಬಹುದು.
