title,I-Battery Manager Lite yehlukile
extend_life,Indlela engcono kakhulu yokwelula impilo yebhethri futhi ikugcine unempilo isekelwe kulwazi nocwaningo lwesayensi.
measured,Ngendlela esobala sikubonisa kuphela idatha elinganisiwe ngempela nokuthi ibalwa kanjani.
healthy,Gcina ibhethri lakho liphilile
double_battery,Phinda kabili impilo yebhethri lakho ngokungashaji ibhethri lakho ngokugcwele. Ososayensi bakufakazele lokhu ocwaningweni lwabo.
charge_limit,Ngokusebenzisa isaziso sethu somkhawulo wokushaja, isaziso sizothunyelwa lapho ibhethri lifinyelela umkhawulo ochazwe umsebenzisi.
smart,Iba ngobuhlakani nsuku zonke
analyze,Uma usebenzisa isikhathi eside I-Battery Manager Lite, sizoba ngcono ekuhlaziyeni ukusebenza kwebhethri lakho.
update_every_time,Isilinganiso sempilo yebhethri esisele sibuyekezwa njalo uma usebenzisa noma ushaja idivayisi yakho.
runtime,Zitholele isikhathi sangempela sokusebenza sebhethri lakho
discharge_cycle,Ngaso sonke isikhathi lapho ifoni yakho idlula emjikelezweni wokukhipha, isilinganiso esinembile sesikhathi sayo sokusebenza singalinganiswa.
accurate_life,Sebenzisa i-Battery Manager Lite ukuze ulinganise impilo yebhethri enembile.
no_exit,Ungaphumi ku-Lite yesiphathi sebhethri!
bg_require,I-Battery Manager Lite idinga isevisi yangemuva ukuze iqoqe izibalo zebhethri futhi ilinganise ukushajwa kwebhethri nesikhathi sokuyikhipha. Idivayisi yakho kungenzeka imise isevisi noma ayikuvumeli ukuthi isebenze uma uhlelo lokusebenza luvaliwe. Ukuze ugweme lokhu, sinesixazululo esihle kuwe. Vele uchofoze isixhumanisi.
man,Imanuwali
cali,Ukulinganisa
polarity,Kulesi sinyathelo, uhlelo lokusebenza lubona ukushaja nomthamo webhethri lakho.
disch,Khipha
ch_pol,I-polarity yokushaja
power_meter,Imitha yamandla
unit_mesure,Iyunithi yokulinganisa
capacity,Amandla ebhethri
wrong,Akulungile?
calib,Linganisa
ye,Yebo
no,Cha
neg,Okubi
pos,Okuhle
lunch,Yethula Uhlelo Lokusebenza
manufac,Amandla ngokusho komkhiqizi
design_des,Umthamo wokuklama umthamo webhethri wangempela, olinganiswa nge-mAh. Njengoba ingekho indlela esemthethweni yokunquma umthamo, inani elibuyisiwe lingase libe iphutha.
correct_it,Uma umthamo obonisiwe ungalungile, sicela usilungise.
cancel,Khansela
ok,Kulungile
runtime,Isikhathi sokusebenza sebhethri
wait,ukulinda
per_hr,Ukusetshenziswa kwebhethri ngehora
life_for,Impilo yebhethri
battery_cond,Isimo sebhethri
bat_info,Ulwazi lwebhethri
bat_cap,Umthamo webhethri
bat_volt,I-voltage yebhethri
bat_cur,Ibhethri lamanje
unit_mes,Iyunithi yokulinganisa
done,Kwenziwe
c_bat_temp,Izinga Lokushisa Lamanje Lebhethri
min_bat_tem,Ithempelesha encane yebhethri
mx_bat_tem,Izinga lokushisa eliphezulu lebhethri
avg_bat_tem,Izinga lokushisa elimaphakathi lebhethri
dig_last,Ukuxilongwa kokugcina ngaphambili
rem_time,Isikhathi Esisele
volt,Amandla kagesi
curr,Okwamanje
status,Isimo
run_time,Isikhathi sokugijima
currently,Okwamanje
avg,Isilinganiso
minmal,Okuncane
maximal,Ubuningi
tool,Amathuluzi
rem_apps,Khipha izinhlelo zokusebenza ongasazisebenzisi ukuvimbela izinhlelo zokusebenza ukuthi zisebenze ngokungadingekile futhi ziqede ibhethri lakho
uninst_apps,Khipha Izinhlelo zokusebenza
stat,Qala
act_eng_save,Yenza kusebenze imodi yokonga ukuze unciphise ukusetshenziswa kwebhethri
pow_save,Imodi yokonga amandla
tempe,Izinga lokushisa
heal,Impilo
tips,Gcina Ibhethri lakho lisesimweni esihle ngamathiphu namasu.
recomm,Izincomo
prem,I-Premium
more_func,Eminye imisebenzi yakho. Thola i-premium, thola okwengeziwe.
more,Okuningi
ur_cond_bat,Isimo sebhethri sinjalo
