title,Batareya menejeri Lite boshqacha
extend_life,Batareyaning ishlash muddatini uzaytirish va sizni sog'lom saqlashning eng yaxshi usuli tajriba va ilmiy tadqiqotlarga asoslangan.
measured,Shaffof tarzda biz sizga faqat haqiqatda o'lchangan ma'lumotlarni va ular qanday hisoblanganligini ko'rsatamiz.
healthy,Batareyangizni sog'lom saqlang
double_battery,Batareyani to'liq zaryad qilmaslik orqali batareyaning ishlash muddatini ikki baravar oshiring. Buni olimlar o‘z tadqiqotlarida isbotladilar.
charge_limit,Batareya zaryadlash chegarasi haqidagi bildirishnomamizdan foydalanib, batareya foydalanuvchi tomonidan belgilangan chegaraga yetganda bildirishnoma yuboriladi.
smart,Har kuni aqlliroq bo'ladi
analyze,Battery Manager Lite-dan qanchalik uzoq foydalansangiz, batareyangiz unumdorligini shunchalik yaxshi tahlil qilamiz.
update_every_time,Qolgan batareya quvvati o'lchovi har safar qurilmangizdan foydalanganingizda yoki zaryadlanganingizda yangilanadi.
runtime,Batareyangizning haqiqiy ish vaqtini bilib oling
discharge_cycle,Telefoningiz zaryadsizlanish davrini har safar o'tganda, uning ish vaqtini aniq baholash mumkin.
accurate_life,Batareyaning ishlash muddatini aniq o'lchash uchun Battery Manager Lite dasturidan foydalaning.
no_exit,Battery Manager Lite dasturidan chiqmang!
bg_require,Batareya menejeri Lite batareya statistikasini yig'ish va batareya zaryadi va zaryadsizlanish vaqtini o'lchash uchun fon xizmatini talab qiladi. Qurilmangiz xizmatni to‘xtatayotgan yoki ilova yopilganda uning ishlashiga ruxsat bermasligi mumkin. Bunga yo'l qo'ymaslik uchun siz uchun yaxshi yechimimiz bor. Shunchaki havolani bosing.
man,Qo'llanma
cali,Kalibrlash
polarity,Ushbu bosqichda ilova zaryadlash polaritesini va batareyangizning dizayn hajmini aniqlaydi.
disch,Bo'shatish
ch_pol,Zaryadlash polaritesi
power_meter,Quvvat o'lchagich
unit_mesure,O'lchov birligi
capacity,Batareya quvvati
wrong,To'g'ri emasmi?
calib,Kalibrlash
ye,Ha
no,Yo'q
neg,Salbiy
pos,Ijobiy
lunch,Ilovani ishga tushiring
manufac,Ishlab chiqaruvchiga ko'ra quvvat
