title,Umphathi weBattery Lite wahlukile
extend_life,Eyona ndlela yokwandisa ubomi bebhetri kwaye ugcine usempilweni isekelwe kumava kunye nophando lwenzululwazi.
measured,Ngendlela ecacileyo sikubonisa kuphela idatha elinganisiweyo kunye nendlela ebalwa ngayo.
healthy,Gcina ibhetri yakho isempilweni
double_battery,Phinda kabini ubomi bebhetri yakho ngokungahlawulisi ngokupheleleyo ibhetri yakho. Izazinzulu ziye zangqina oku kuphando lwazo.
charge_limit,Ngokusebenzisa isaziso sethu somda wentlawulo, isaziso siya kuthunyelwa xa ibhetri ifikelela kumda ochazwe ngumsebenzisi.
smart,Iba krelekrele yonke imihla
analyze,Okukhona usebenzisa iBattery Manager Lite, kokukhona siya kuba ngcono xa sihlalutya ukusebenza kwebhetri yakho.
update_every_time,Umlinganiselo oseleyo wobomi bebhetri uhlaziywa ngalo lonke ixesha usebenzisa okanye utshaja isixhobo sakho.
runtime,Fumana elona xesha lokusetyenziswa kwebhetri yakho
discharge_cycle,Ngalo lonke ixesha ifowuni yakho idlula kumjikelo wokukhupha, uqikelelo oluchanekileyo lwexesha layo lokusebenza lunokulinganiswa.
accurate_life,Sebenzisa iBattery Manager Lite ukulinganisa ubomi bebhetri obuchanekileyo.
no_exit,Musa ukuphuma kuMphathi weBhetri oLite!
bg_require,Umphathi webhetri iLite ifuna inkonzo yangasemva ukuqokelela iinkcukacha-manani zebhetri kwaye ilinganise intlawulo yebhetri kunye nexesha lokuyikhupha. Isixhobo sakho sinokuyimisa inkonzo okanye singayivumeli ukuba isebenze xa i-app ivaliwe. Ukunqanda oku, sinesisombululo esihle kuwe. Cofa nje kwikhonkco.
man,Imanyuwali
cali,Ulungelelwaniso
polarity,Kweli nyathelo, i-app ibona ukutshaja polarity kunye nomthamo woyilo webhetri yakho.
disch,Ukukhupha
ch_pol,Ukutshaja ipolarity
power_meter,imitha yamandla
unit_mesure,Iyunithi yokulinganisa
capacity,Umthamo webhetri
wrong,Akunjalo?
calib,Ukulinganisa
ye,Ewe
no,Hayi
neg,Ibi
pos,Okuhle
lunch,Qalisa i-App
manufac,Umthamo ngokomvelisi
design_des,Umthamo woyilo lolona mthamo webhetri, ulinganiswe nge-mAh. Njengoko kungekho ndlela esemthethweni yokumisela umthamo, ixabiso elibuyisweyo linokuba lingalunganga.
correct_it,Ukuba umthamo obonisiweyo awuchanekanga, nceda ulungise.
cancel,Rhoxisa
ok,Kulungile
