title,Батарея менеджеры Lite төрле
extend_life,Батарейка гомерен озайту һәм сәламәт булу өчен иң яхшы ысул тәҗрибәгә һәм фәнни тикшеренүләргә нигезләнгән.
measured,Ачык итеп без сезгә чыннан да үлчәнгән мәгълүматны һәм аның ничек исәпләнүен күрсәтәбез.
healthy,Батарейканы сәламәт саклагыз
double_battery,Батарейканы тулысынча зарядламыйча, батарея гомерен икеләтә арттырыгыз. Галимнәр моны үз тикшеренүләрендә исбатладылар.
charge_limit,Безнең заряд лимиты турындагы хәбәрне кулланып, батарея кулланучы билгеләгән бусагага җиткәч, хәбәр җибәреләчәк.
smart,Ул көннән-көн акыллырак була
analyze,Батарейка менеджеры Lite озак кулланган саен, без сезнең батареяның эшләвен анализлаячакбыз.
update_every_time,Калган батарея гомерен үлчәү җайланмагызны кулланганда яки зарядка ясаган саен яңартыла.
runtime,Батарейканың эш вакытын ачыклагыз
discharge_cycle,Телефоныгыз агызу циклын үткән саен, аның эш вакытының төгәл сметасын үлчәп була.
accurate_life,Батареяның төгәл гомерен үлчәү өчен Батарейка Менеджеры Lite кулланыгыз.
no_exit,Батарея менеджеры Liteдан чыкмагыз!
bg_require,Батарейка менеджеры Lite батарея статистикасын җыю һәм батарея корылмасын үлчәү өчен фон хезмәтен таләп итә. Сезнең җайланма, мөгаен, хезмәтне туктата яки кушымта ябылганда эшләргә рөхсәт итми. Моны булдырмас өчен, сезнең өчен яхшы чишелеш бар. Ссылкага басыгыз.
man,Дәреслек
cali,Калибрлау
polarity,Бу адымда кушымта корылма полярлыгын һәм батареяның дизайн сыйдырышлыгын ачыклый.
disch,Агарту
ch_pol,Полярлык зарядка
power_meter,Электр счетчик
unit_mesure,Measлчәү берәмлеге
capacity,Батарея сыйдырышлыгы
wrong,Дөрес түгел?
calib,Калибрлагыз
ye,Әйе
no,.К
neg,Тискәре
pos,Позитив
lunch,Кушымтаны эшләтеп җибәрү
manufac,Manufactитештерүче буенча потенциал
design_des,Дизайн сыйдырышлыгы - фактик батарея сыйдырышлыгы, mAh белән үлчәнә. Потенциалны билгеләү өчен рәсми ысул булмаганлыктан, кайтарылган кыйммәт дөрес булмаска мөмкин.
correct_it,Күрсәтелгән сыйдырышлык дөрес булмаса, зинһар, аны төзәтегез.
cancel,Баш тарту
ok,Ярар
runtime,Батарея Эш вакыты
wait,көтү
per_hr,Сәгатенә батарея куллану
life_for,Батарея гомере
battery_cond,Батарея торышы
bat_info,Батарея турында мәгълүмат
bat_cap,Батарея сыйдырышлыгы
bat_volt,Батарея көчәнеше
bat_cur,Батарея токы
unit_mes,Measлчәү берәмлеге
done,Булды
c_bat_temp,Хәзерге батарея температурасы
min_bat_tem,Батарейканың минималь температурасы
mx_bat_tem,Максималь батарея температурасы
avg_bat_tem,Батарейканың уртача температурасы
dig_last,Соңгы диагноз
rem_time,Калган вакыт
volt,Көчәнеш
curr,Ток
status,Статус
run_time,Эш вакыты
currently,Хәзерге вакытта
avg,Уртача
minmal,Минималь
maximal,Максимум
tool,Кораллар
rem_apps,Кушымталар кирәксез эшләмәсен өчен һәм батареяны суырмас өчен, сез кулланмаган кушымталарны бетерегез
uninst_apps,Кушымталарны бетерү
stat,Башлау
act_eng_save,Батарейка куллануны киметү өчен энергия саклау режимын активлаштырыгыз
pow_save,Энергия саклау режимы
tempe,Температура
heal,Сәламәтлек
tips,Батарейканы киңәшләр һәм хәйләләр белән яхшы хәлдә саклагыз.
recomm,Тәкъдимнәр
prem,Премиум
more_func,Сезнең өчен күбрәк функцияләр. Премиум алыгыз, күбрәк алыгыз.
more,Тулырак
ur_cond_bat,Батарея торышы
ur_bat_life,Сезнең батарея гомере
ur_bat_temp,Сезнең батарея температурасы
wow,Яхшы
normal,Нормаль
poor,Начар
days,Көннәр
mins,Минутлар
hrs,Сәгать
chging,Зарядлау
ful,Тулы
dis_chrg,Агарту
unkn,Билгесез
too_lit,Батарея мәгълүматлары бик аз
car_any,Барыбер эшләгез
endz_,Ахыр
dig_any,Яхшырак диагностик нәтиҗәләргә ирешү өчен, кушымта батареяны фонда анализларга тиеш. Зинһар, диагнозны 24 сәгатьтән соң башлагыз
end_dig,Ахыр диагноз
quit_dig,Чыннан да диагнозны ташлагыз
batty_temp,Батарея температурасы
akku_manager,Акку менеджеры
u_agree,"СТАРТ" белән сез мәгълүматны саклау кагыйдәләренә ризасыз
elemn_opti,Элементлар оптимальләштерелергә мөмкин
looks_good,Барысы да яхшы күренә
optimize_,Оптимизация
toolz_,Кораллар
akku_check,Акку
ctrl_load,Контроль йөкләү
mng_apps,Кушымталар белән идарә итү
infosm,Мәгълүмат
tenzion,киеренкелек
electy,электр
lvl,Дәрәҗә
akku_man_premium,Акку менеджер премиум
premimum_highlight,Батарейка менеджерын рекламасыз тулысынча кулланыгыз, һәм сез кулланучы интерфейсының киң көйләнешенә керә аласыз.
design,Дизайн
subjs,предметлар
genrally,Гомумән
temp_unit,Температура берәмлеге
oth_apps,Башка кушымталар
dat_protect,Мәгълүматны саклау
thx_akku,Акку менеджерына премиум версиясен сатып алуда булышканыгыз өчен рәхмәт.
user_got_pre,Сез хәзер кулланучы интерфейсын киң куллану һәм рекламасыз куллану мөмкинлеген ала.
exp_more,Киләчәк яңартуларда сез күбрәк үзенчәлекләр көтә аласыз
ap_optimiz,Кушымта оптимизациясе
