title,Battery Manager Lite განსხვავებულია
extend_life,ბატარეის მუშაობის გახანგრძლივების და თქვენი ჯანმრთელობის შენარჩუნების საუკეთესო გზა გამოცდილებასა და სამეცნიერო კვლევებზეა დაფუძნებული.
measured,გამჭვირვალე გზით ჩვენ მხოლოდ გაჩვენებთ რეალურად გაზომილ მონაცემებს და როგორ ხდება მათი გამოთვლა.
healthy,შეინახეთ თქვენი ბატარეა ჯანმრთელი
double_battery,გააორმაგეთ თქვენი ბატარეის ხანგრძლივობა სრულად არ დატენვით. მეცნიერებმა ეს თავიანთ კვლევებში დაადასტურეს.
charge_limit,ჩვენი დატენვის ლიმიტის შეტყობინების გამოყენებით, შეტყობინება გაიგზავნება, როდესაც ბატარეა მიაღწევს მომხმარებლის მიერ განსაზღვრულ ზღვარს.
smart,ყოველდღე უფრო ჭკვიანი ხდება
analyze,რაც უფრო დიდხანს იყენებთ Battery Manager Lite-ს, მით უკეთესად მივიღებთ თქვენი ბატარეის მუშაობის ანალიზს.
update_every_time,დარჩენილი ბატარეის საზომი განახლდება ყოველ ჯერზე, როცა იყენებთ ან დამუხტავთ მოწყობილობას.
runtime,აღმოაჩინეთ თქვენი ბატარეის რეალური მუშაობის დრო
discharge_cycle,ყოველ ჯერზე, როცა თქვენი ტელეფონი გადის განმუხტვის ციკლს, მისი მუშაობის დროის ზუსტი შეფასება შეიძლება გაიზომოს.
accurate_life,გამოიყენეთ Battery Manager Lite ბატარეის მუშაობის ზუსტი გაზომვისთვის.
no_exit,არ გამოხვიდეთ Battery Manager Lite-დან!
bg_require,Battery Manager Lite საჭიროებს ფონურ სერვისს ბატარეის სტატისტიკის შესაგროვებლად და ბატარეის დატენვისა და განმუხტვის დროის გასაზომად. თქვენი მოწყობილობა სავარაუდოდ აჩერებს სერვისს ან არ აძლევს მას გაშვებას, როდესაც აპი დახურულია. ამის თავიდან ასაცილებლად, ჩვენ გვაქვს კარგი გამოსავალი თქვენთვის. უბრალოდ დააწკაპუნეთ ბმულზე.
man,სახელმძღვანელო
cali,კალიბრაცია
polarity,ამ ეტაპზე, აპლიკაცია ამოიცნობს დატენვის პოლარობას და თქვენი ბატარეის დიზაინის სიმძლავრეს.
disch,გამონადენი
ch_pol,დატენვის პოლარობა
power_meter,Ძალის საზომი
unit_mesure,საზომი ერთეული
capacity,ბატარეის ტევადობა
wrong,Არ არის სწორი?
calib,დაკალიბრება
ye,დიახ
no,არა
neg,უარყოფითი
pos,პოზიტიური
lunch,გაუშვით აპლიკაცია
manufac,სიმძლავრე მწარმოებლის მიხედვით
design_des,დიზაინის მოცულობა არის ბატარეის რეალური სიმძლავრე, რომელიც იზომება mAh-ში. იმის გამო, რომ არ არსებობს ოფიციალური გზა სიმძლავრის დასადგენად, დაბრუნებული ღირებულება შეიძლება არასწორი იყოს.
correct_it,თუ ნაჩვენები სიმძლავრე არ არის სწორი, გთხოვთ შეასწოროთ.
cancel,გაუქმება
ok,კარგი
runtime,ბატარეის მუშაობის დრო
wait,ელოდება
