title,ব্যাটারি ম্যানেজার লাইট আলাদা
extend_life,ব্যাটারি লাইফ বাড়ানো এবং আপনাকে সুস্থ রাখার সর্বোত্তম উপায় হল অভিজ্ঞতা এবং বৈজ্ঞানিক গবেষণার উপর ভিত্তি করে।
measured,একটি স্বচ্ছ উপায়ে আমরা আপনাকে প্রকৃতভাবে পরিমাপ করা ডেটা এবং কীভাবে এটি গণনা করা হয় তা দেখাই।
healthy,আপনার ব্যাটারি সুস্থ রাখুন
double_battery,আপনার ব্যাটারি পুরোপুরি চার্জ না করে আপনার ব্যাটারির আয়ু দ্বিগুণ করুন। বিজ্ঞানীরা তাদের গবেষণায় এটি প্রমাণ করেছেন।
charge_limit,আমাদের চার্জ সীমা বিজ্ঞপ্তি ব্যবহার করে, ব্যাটারি ব্যবহারকারী-সংজ্ঞায়িত থ্রেশহোল্ডে পৌঁছালে একটি বিজ্ঞপ্তি পাঠানো হবে।
smart,এটি প্রতিদিন স্মার্ট হয়ে উঠছে
analyze,আপনি যত বেশি সময় ব্যাটারি ম্যানেজার লাইট ব্যবহার করবেন, আমরা আপনার ব্যাটারির কার্যক্ষমতা বিশ্লেষণ করতে তত ভাল পাব।
update_every_time,আপনি যখনই আপনার ডিভাইস ব্যবহার করেন বা চার্জ করেন তখন বাকি ব্যাটারি লাইফ পরিমাপ আপডেট করা হয়।
runtime,আপনার ব্যাটারির প্রকৃত রানটাইম আবিষ্কার করুন
discharge_cycle,প্রতিবার আপনার ফোন একটি ডিসচার্জ চক্রের মধ্য দিয়ে যায়, এর রানটাইমের একটি সঠিক অনুমান পরিমাপ করা যেতে পারে।
accurate_life,সঠিক ব্যাটারি লাইফ পরিমাপ করতে ব্যাটারি ম্যানেজার লাইট ব্যবহার করুন।
no_exit,ব্যাটারি ম্যানেজার লাইট থেকে প্রস্থান করবেন না!
bg_require,ব্যাটারি ম্যানেজার লাইটের ব্যাটারি পরিসংখ্যান সংগ্রহ করতে এবং ব্যাটারি চার্জ এবং ডিসচার্জ সময় পরিমাপ করার জন্য একটি ব্যাকগ্রাউন্ড পরিষেবা প্রয়োজন। অ্যাপটি বন্ধ হয়ে গেলে আপনার ডিভাইসটি সম্ভবত পরিষেবা বন্ধ করে দিচ্ছে বা এটি চালানোর অনুমতি দিচ্ছে না। এটি এড়াতে, আমরা আপনার জন্য একটি ভাল সমাধান আছে. শুধু লিঙ্কে ক্লিক করুন.
man,ম্যানুয়াল
cali,ক্রমাঙ্কন
polarity,এই ধাপে, অ্যাপটি চার্জিং পোলারিটি এবং আপনার ব্যাটারির ডিজাইন ক্ষমতা সনাক্ত করে।
disch,স্রাব
ch_pol,চার্জিং পোলারিটি
power_meter,ক্ষমতা মিটার
unit_mesure,পরিমাপের একক
capacity,ব্যাটারির ক্ষমতা
wrong,ঠিক না?
calib,ক্যালিব্রেট করুন
ye,হ্যাঁ
no,না
neg,নেতিবাচক
pos,ইতিবাচক
lunch,এপ্লিকেশন চালু করুন
manufac,প্রস্তুতকারকের অনুযায়ী ক্ষমতা
design_des,ডিজাইন ক্ষমতা হল প্রকৃত ব্যাটারির ক্ষমতা, যা mAh এ পরিমাপ করা হয়। যেহেতু ক্ষমতা নির্ধারণের কোনো সরকারী উপায় নেই, তাই ফেরত দেওয়া মান ভুল হতে পারে।
correct_it,প্রদর্শিত ক্ষমতা সঠিক না হলে, এটি সংশোধন করুন।
cancel,বাতিল করুন
ok,ঠিক আছে
runtime,ব্যাটারি রানটাইম
wait,অপেক্ষা
per_hr,প্রতি ঘন্টায় ব্যাটারি খরচ
life_for,জন্য ব্যাটারি জীবন
battery_cond,ব্যাটারির অবস্থা
bat_info,ব্যাটারি তথ্য
