title,Battery Manager Lite txawv
extend_life,Txoj hauv kev zoo tshaj plaws los txuas ntxiv roj teeb lub neej thiab ua kom koj noj qab haus huv yog nyob ntawm kev paub dhau los thiab kev tshawb fawb tshawb fawb.
measured,Nyob rau hauv ib txoj kev pob tshab peb tsuas yog qhia koj qhov tseeb ntsuas cov ntaub ntawv thiab yuav ua li cas nws yog xam.
healthy,Khaws koj lub roj teeb kom noj qab nyob zoo
double_battery,Muab ob npaug rau koj lub roj teeb lub neej los ntawm kev tsis them koj lub roj teeb. Cov kws tshawb fawb tau ua pov thawj qhov no hauv lawv cov kev tshawb fawb.
charge_limit,Siv peb qhov kev ceeb toom txwv tsis pub dhau, kev ceeb toom yuav raug xa thaum lub roj teeb ncav cuag tus neeg siv qhov pib.
smart,Nws tau ntse dua txhua hnub
analyze,Ntev npaum li koj siv Battery Manager Lite, qhov zoo dua peb yuav tau txais ntawm kev txheeb xyuas koj lub roj teeb ua haujlwm.
update_every_time,Qhov ntsuas roj teeb lub neej ntxiv yog hloov kho txhua zaus koj siv lossis them koj lub cuab yeej.
runtime,Tshawb nrhiav lub sijhawm ua haujlwm ntawm koj lub roj teeb
discharge_cycle,Txhua zaus koj lub xov tooj mus dhau lub voj voog tawm, qhov ntsuas qhov tseeb ntawm nws lub sijhawm ua haujlwm tuaj yeem ntsuas tau.
accurate_life,Siv Battery Manager Lite los ntsuas lub roj teeb kom raug.
no_exit,Tsis txhob tawm Battery Manager Lite!
bg_require,Battery Manager Lite yuav tsum muaj kev pabcuam keeb kwm yav dhau los txhawm rau sau cov lej ntsuas roj teeb thiab ntsuas cov roj teeb thiab lub sijhawm tso tawm. Koj lub cuab yeej yuav nres qhov kev pabcuam lossis tsis tso cai rau nws khiav thaum lub app kaw. Txhawm rau zam qhov no, peb muaj kev daws teeb meem zoo rau koj. Nyem rau ntawm qhov txuas.
man,Phau ntawv
cali,Calibration
polarity,Hauv cov kauj ruam no, lub app kuaj pom qhov polarity them thiab tsim lub peev xwm ntawm koj lub roj teeb.
disch,Tso tawm
ch_pol,Kev them nyiaj polarity
power_meter,Lub zog ntsuas
unit_mesure,Chav ntsuas ntsuas
capacity,Roj teeb muaj peev xwm
wrong,Tsis yog lawm?
calib,Calibrate
ye,Yog lawm
no,Tsis muaj
neg,Tsis zoo
pos,Qhov zoo
lunch,Tua tawm App
manufac,Muaj peev xwm raws li tus neeg tsim khoom
design_des,Lub peev xwm tsim yog lub peev xwm ntawm lub roj teeb, ntsuas hauv mAh. Raws li tsis muaj txoj hauv kev los txiav txim siab lub peev xwm, tus nqi xa rov qab tuaj yeem ua yuam kev.
correct_it,Yog tias lub peev xwm tso tawm tsis raug, thov kho nws.
cancel,Tso tseg
ok,Okay
runtime,Lub sijhawm roj teeb
wait,tos
per_hr,Roj teeb noj ib teev
life_for,Roj teeb lub neej rau
battery_cond,Roj teeb mob
bat_info,Cov ntaub ntawv roj teeb
bat_cap,Roj teeb muaj peev xwm
bat_volt,Roj teeb voltage
bat_cur,Roj teeb tam sim no
unit_mes,Chav ntsuas ntsuas
done,Ua tiav
c_bat_temp,Lub roj teeb kub tam sim no
min_bat_tem,Tsawg kawg roj teeb kub
mx_bat_tem,Lub roj teeb kub siab tshaj plaws
avg_bat_tem,Nruab nrab roj teeb kub
dig_last,Kev kuaj mob kawg ua ntej
rem_time,Lub Sijhawm Tseem Ceeb
volt,Qhov hluav taws xob
curr,Tam sim no
status,xwm txheej
run_time,Lub sijhawm ua haujlwm
currently,Tam sim no
avg,Nruab nrab
minmal,Tsawg kawg
maximal,Qhov siab tshaj plaws
tool,Cov cuab yeej
rem_apps,Uninstall apps uas koj tsis siv los tiv thaiv cov apps los ntawm kev ua haujlwm tsis tsim nyog thiab tso koj lub roj teeb
uninst_apps,Uninstall Apps
stat,Pib
act_eng_save,Ua kom lub zog txuag hom kom txo tau roj teeb
pow_save,Lub zog txuag hom
tempe,Kub
heal,Kev noj qab haus huv
tips,Khaws koj lub roj teeb kom zoo nrog cov lus qhia thiab kev ua kom yuam kev.
recomm,Cov lus pom zoo
prem,Hwm
more_func,Ntau lub luag haujlwm rau koj. Tau txais txiaj ntsig, tau txais ntau dua.
more,Ntau
ur_cond_bat,Lub roj teeb mob yog
ur_bat_life,Koj lub roj teeb lub neej yog
ur_bat_temp,Koj lub roj teeb kub yog
wow,Zoo heev
normal,Ib txwm
poor,Tsis zoo
days,Hnub
mins,feeb
hrs,Teev
chging,Kev them nyiaj
ful,puv
dis_chrg,Tshem tawm
unkn,Tsis paub
too_lit,Cov ntaub ntawv roj teeb tsawg dhau
car_any,Ua li cas
endz_,Xaus
dig_any,Txhawm rau kom tau txais kev kuaj pom zoo dua, lub app yuav tsum txheeb xyuas koj lub roj teeb hauv keeb kwm yav dhau. Thov pib qhov kev kuaj mob tom qab 24 teev
end_dig,Xaus kev kuaj mob
quit_dig,Tiag Tiag Tiag Tiag
batty_temp,Roj teeb kub
akku_manager,Tus Manager
u_agree,Nrog "START" koj pom zoo rau cov ntaub ntawv tiv thaiv cov cai
elemn_opti,Cov ntsiab lus tuaj yeem ua kom zoo
looks_good,Txhua yam zoo li zoo
optimize_,Ua kom zoo
toolz_,Cov cuab yeej
akku_check,Akku Check
ctrl_load,Tswj kev thauj khoom
mng_apps,Tswj cov apps
infosm,Cov ntaub ntawv
tenzion,nruj
electy,hluav taws xob
lvl,Qib
akku_man_premium,Akku Manager hwm
premimum_highlight,Siv Tus Thawj Tswj roj teeb kiag li yam tsis muaj kev tshaj tawm thiab koj tuaj yeem nkag mus rau qhov kev hloov kho dav dav ntawm tus neeg siv interface.
design,Tsim
subjs,yam
genrally,Feem ntau
temp_unit,Chav ntsuas kub
oth_apps,Lwm yam Apps
dat_protect,Kev tiv thaiv cov ntaub ntawv
thx_akku,Ua tsaug rau kev txhawb nqa Akku Manager nrog kev yuav khoom ntawm tus hwm version.
user_got_pre,Tam sim no koj muaj kev nkag tau mus rau qhov dav customization ntawm tus neeg siv interface thiab kev siv yam tsis muaj kev tshaj tawm.
exp_more,Koj tuaj yeem cia siab tias yuav muaj ntau yam ntxiv hauv kev hloov tshiab yav tom ntej
ap_optimiz,App optimization
sys_bat_usage,Kev siv roj teeb
bat_usage_det,Cov ntsiab lus ntawm kev siv roj teeb
end_optiz,Xaus optimization
