title,Battery Manager Lite는 다릅니다.
extend_life,배터리 수명을 연장하고 건강을 유지하는 가장 좋은 방법은 경험과 과학적 연구를 기반으로 합니다.
measured,투명한 방식으로 실제로 측정된 데이터와 계산 방법만 보여줍니다.
healthy,배터리를 건강하게 유지하십시오
double_battery,배터리를 완전히 충전하지 않으면 배터리 수명이 두 배로 늘어납니다. 과학자들은 그들의 연구에서 이것을 증명했습니다.
charge_limit,충전 제한 알림을 사용하여 배터리가 사용자 정의 임계값에 도달하면 알림이 전송됩니다.
smart,매일 더 똑똑해집니다
analyze,Battery Manager Lite를 오래 사용할수록 배터리 성능을 더 잘 분석할 수 있습니다.
update_every_time,남은 배터리 수명 측정은 장치를 사용하거나 충전할 때마다 업데이트됩니다.
runtime,배터리의 실제 사용 시간 알아보기
discharge_cycle,휴대전화가 방전 주기를 거칠 때마다 정확한 사용 시간을 측정할 수 있습니다.
accurate_life,Battery Manager Lite를 사용하여 정확한 배터리 수명을 측정하십시오.
no_exit,Battery Manager Lite를 종료하지 마십시오!
bg_require,Battery Manager Lite는 배터리 통계를 수집하고 배터리 충전 및 방전 시간을 측정하기 위해 백그라운드 서비스가 필요합니다. 장치가 서비스를 중지하거나 앱이 닫힐 때 실행을 허용하지 않을 수 있습니다. 이를 방지하기 위해 좋은 솔루션이 있습니다. 링크를 클릭하기만 하면 됩니다.
man,수동
cali,구경 측정
polarity,이 단계에서 앱은 배터리의 충전 극성과 설계 용량을 감지합니다.
disch,해고하다
ch_pol,충전 극성
power_meter,파워미터
unit_mesure,측정 단위
capacity,배터리 용량
wrong,맞지?
calib,보정
ye,예
no,아니
neg,부정적인
pos,긍정적인
lunch,앱 실행
manufac,제조사별 용량
design_des,설계 용량은 mAh로 측정된 실제 배터리 용량입니다. 용량을 결정하는 공식적인 방법이 없으므로 반환된 값이 잘못되었을 수 있습니다.
correct_it,표시된 용량이 올바르지 않으면 수정하십시오.
cancel,취소
ok,괜찮아
runtime,배터리 런타임
wait,대기 중
per_hr,시간당 배터리 소모
life_for,배터리 수명
battery_cond,배터리 상태
bat_info,배터리 정보
bat_cap,배터리 용량
bat_volt,배터리 전압
bat_cur,배터리 전류
unit_mes,측정 단위
done,완료
c_bat_temp,현재 배터리 온도
min_bat_tem,최소 배터리 온도
mx_bat_tem,최대 배터리 온도
avg_bat_tem,평균 배터리 온도
dig_last,다음 날짜 이전에 마지막 진단
rem_time,남은 시간
volt,전압
curr,현재의
status,상태
run_time,시간을 실행
currently,현재
avg,평균
minmal,최소
maximal,최고
tool,도구
rem_apps,앱이 불필요하게 실행되어 배터리가 소모되는 것을 방지하기 위해 더 이상 사용하지 않는 앱을 ​​제거합니다.
uninst_apps,앱 제거
stat,시작
act_eng_save,에너지 절약 모드를 활성화하여 배터리 소모를 줄입니다.
pow_save,절전 모드
tempe,온도
heal,건강
tips,팁과 요령으로 배터리를 양호한 상태로 유지하십시오.
recomm,추천
prem,프리미엄
more_func,당신을 위한 더 많은 기능. 프리미엄을 받고 더 많은 것을 얻으십시오.
more,더
ur_cond_bat,배터리 상태는
ur_bat_life,배터리 수명은
ur_bat_temp,배터리 온도는
wow,훌륭한
normal,정상
poor,신통치 않게
days,날
mins,분
hrs,시간
chging,충전 중
ful,가득한
dis_chrg,방전
unkn,알려지지 않은
too_lit,너무 적은 배터리 데이터
car_any,어쨌든 수행
endz_,끝
dig_any,더 나은 진단 결과를 얻으려면 앱이 백그라운드에서 배터리를 분석해야 합니다. 24시간 후에 진단을 시작하십시오.
end_dig,진단 종료
quit_dig,정말 종료 진단
batty_temp,배터리 온도
akku_manager,악쿠매니저
u_agree,"START"를 사용하면 데이터 보호 규정에 동의하는 것입니다.
elemn_opti,요소를 최적화할 수 있습니다.
looks_good,모든 것이 좋아 보인다
optimize_,최적화
toolz_,도구
akku_check,악쿠체크
ctrl_load,통제된 적재
mng_apps,앱 관리
infosm,정보
tenzion,긴장
electy,전기
lvl,수준
akku_man_premium,악쿠매니저 프리미엄
premimum_highlight,광고 없이 배터리 관리자를 완전히 사용하고 사용자 인터페이스의 광범위한 사용자 정의에 액세스할 수 있습니다.
design,설계
subjs,과목
genrally,일반적으로
temp_unit,온도 단위
oth_apps,기타 앱
dat_protect,데이터 보호
thx_akku,프리미엄 버전 구매와 함께 Akku Manager를 지원해 주셔서 감사합니다.
