title,Battery Manager Lite fərqlidir
extend_life,Batareyanın ömrünü uzatmağın və sağlamlığınızı qorumağın ən yaxşı yolu təcrübə və elmi araşdırmalara əsaslanır.
measured,Şəffaf bir şəkildə biz sizə yalnız faktiki ölçülmüş məlumatları və onların necə hesablandığını göstəririk.
healthy,Batareyanı sağlam saxlayın
double_battery,Batareyanı tam doldurmamaqla batareyanın ömrünü iki dəfə artırın. Alimlər öz araşdırmalarında bunu sübut ediblər.
charge_limit,Doldurma limiti bildirişimizdən istifadə edərək, batareya istifadəçi tərəfindən müəyyən edilmiş həddə çatdıqda bildiriş göndəriləcək.
smart,Hər gün daha ağıllı olur
analyze,Battery Manager Lite-dan nə qədər uzun müddət istifadə etsəniz, batareyanızın performansını bir o qədər yaxşı təhlil edəcəyik.
update_every_time,Qalan batareya ömrünün ölçülməsi cihazınızı hər dəfə istifadə etdiyiniz və ya doldurduğunuz zaman yenilənir.
runtime,Batareyanızın həqiqi işləmə müddətini kəşf edin
discharge_cycle,Telefonunuz hər dəfə boşalma dövründən keçdikdə, onun işləmə müddətinin dəqiq təxminini ölçmək olar.
accurate_life,Batareyanın ömrünü dəqiq ölçmək üçün Battery Manager Lite istifadə edin.
no_exit,Battery Manager Lite proqramından çıxmayın!
bg_require,Battery Manager Lite batareya statistikasını toplamaq və batareyanın doldurulması və boşalma vaxtını ölçmək üçün fon xidməti tələb edir. Çox güman ki, cihazınız xidməti dayandırır və ya proqram bağlı olduqda onun işləməsinə icazə vermir. Bunun qarşısını almaq üçün sizin üçün yaxşı bir həllimiz var. Sadəcə linkə klikləyin.
man,Manual
cali,Kalibrləmə
polarity,Bu addımda proqram batareyanızın doldurma polaritesini və dizayn tutumunu aşkarlayır.
disch,Boşalma
ch_pol,Doldurma polaritesi
power_meter,Güc sayğacı
unit_mesure,Ölçü vahidi
capacity,Batareya Tutumu
wrong,Düzgün deyil?
calib,Kalibrləmə
ye,Bəli
no,Yox
neg,Mənfi
pos,Müsbət
lunch,Proqramı işə salın
manufac,İstehsalçıya görə tutum
design_des,Dizayn gücü mAh ilə ölçülən faktiki batareya tutumudur. Tutumu müəyyən etmək üçün rəsmi yol olmadığı üçün qaytarılan dəyər səhv ola bilər.
correct_it,Göstərilən tutum düzgün deyilsə, onu düzəldin.
cancel,Ləğv et
ok,tamam
runtime,Batareyanın işləmə müddəti
wait,gözləyir
per_hr,Saatda batareya istehlakı
life_for,Üçün batareyanın ömrü
battery_cond,Batareya vəziyyəti
bat_info,Batareya məlumatı
bat_cap,Batareya tutumu
bat_volt,Batareyanın gərginliyi
bat_cur,Batareya cərəyanı
unit_mes,Ölçü vahidi
done,Bitdi
c_bat_temp,Cari Batareyanın Temperaturu
min_bat_tem,Minimum batareya temperaturu
mx_bat_tem,Maksimum batareya temperaturu
avg_bat_tem,Orta batareya temperaturu
dig_last,Əvvəlki son diaqnoz
rem_time,Qalan vaxt
volt,Gərginlik
curr,Cari
status,Vəziyyət
run_time,İş vaxtı
currently,Hal-hazırda
avg,Orta
minmal,Minimal
maximal,Maksimum
tool,Alətlər
rem_apps,Tətbiqlərin lazımsız işləməsinin və batareyanızın tükənməsinin qarşısını almaq üçün artıq istifadə etmədiyiniz proqramları silin
uninst_apps,Proqramları silin
stat,Başlamaq
act_eng_save,Batareya istehlakını azaltmaq üçün enerjiyə qənaət rejimini aktivləşdirin
pow_save,Enerji qənaət rejimi
tempe,Temperatur
heal,Sağlamlıq
tips,Məsləhətlər və fəndlərlə batareyanızı yaxşı vəziyyətdə saxlayın.
recomm,Tövsiyələr
prem,Premium
more_func,Sizin üçün daha çox funksiya. Premium alın, daha çox qazanın.
more,Daha çox
ur_cond_bat,Batareya veziyyetdedir
ur_bat_life,Batareyanın ömrüdür
ur_bat_temp,Batareyanın Temperaturunuz
wow,Əla
normal,Normal
poor,Zəif
days,Günlər
mins,Dəqiqələr
hrs,Saatlar
chging,Doldurulur
ful,Tam
dis_chrg,Boşaltma
unkn,Naməlum
too_lit,Çox az Batareya Məlumatı
car_any,Hər halda həyata keçirin
endz_,Son
dig_any,Daha yaxşı diaqnostik nəticələr əldə etmək üçün proqram arxa fonda batareyanızı təhlil etməlidir. Zəhmət olmasa 24 saatdan sonra diaqnoza başlayın
end_dig,Son diaqnoz
quit_dig,Həqiqətən Diaqnozdan Çıxın
batty_temp,Batareyanın temperaturu
akku_manager,Akku Meneceri
u_agree,"START" ilə siz məlumatların qorunması qaydaları ilə razılaşırsınız
elemn_opti,Elementlər optimallaşdırıla bilər
looks_good,Hər şey yaxşı görünür
optimize_,Optimallaşdırın
toolz_,Alətlər
akku_check,Akku yoxlayın
ctrl_load,Nəzarətli yükləmə
mng_apps,Proqramları idarə edin
infosm,Məlumat
tenzion,gərginlik
electy,elektrik
lvl,Səviyyə
akku_man_premium,Akku Manager Premium
premimum_highlight,Batareya menecerindən tamamilə reklamsız istifadə edin və istifadəçi interfeysinin geniş fərdiləşdirilməsinə çıxışınız var.
design,Dizayn
subjs,fənlər
genrally,Ümumiyyətlə
temp_unit,Temperatur vahidi
oth_apps,Digər Proqramlar
dat_protect,Məlumatların qorunması
thx_akku,Premium versiyanın alınması ilə Akku Manager-ə dəstək verdiyiniz üçün təşəkkür edirik.
user_got_pre,İndi istifadəçi interfeysinin geniş fərdiləşdirilməsinə və reklamsız istifadəyə çıxışınız var.
exp_more,Gələcək yeniləmələrdə daha çox funksiya gözləmək olar
ap_optimiz,Tətbiqin optimallaşdırılması
sys_bat_usage,Sistem batareyasının istehlakı
bat_usage_det,Batareyanın istifadəsi təfərrüatları
end_optiz,Optimallaşdırmanı bitirin
abort,Abort
break_up,parçalanmaq
scn,skan etmək
scn_bgh,Ekran parlaqlığı
dact_wlan,WLAN-ı deaktiv edin
dact_save_batt,Batareyaya qənaət etmək üçün deaktiv edin
dact,Deaktiv edin
dact_ble,Bluetooth-u deaktiv edin
red_brigh,Parlaqlığı azaldın
bright_txt,Batareyaya qənaət etmək üçün ekranın parlaqlığını azaldın
to_reduce,Azaltmaq üçün
dact_gps,GPS-i deaktiv edin
appz_optimz,Tətbiqlər optimallaşdırılıb
start_bat_check_det,Həmişə təhlükəsiz tərəfdə olmaq üçün ətraflı batareya yoxlamasına başlayın
act_eng_save,Batareya istehlakını azaltmaq üçün enerjiyə qənaət rejimini aktivləşdirin
remove_useless,Artıq istifadə olunmayan proqramları silin
premium,Premium
clear_mem,Yaddaşı təmizləyin
clear_mem_des,Smartfonunuzun tez və rəvan işləməsi üçün.
clenaup,Təmizləmək
rat,reytinq
rat_free,Batareya menecerini pulsuz qiymətləndirin
sendz,Göndər
elmn_found,Elementlər tapıldı
drumz,Təbillər
status,Vəziyyət
end_akk_check,Batareyanın yoxlanışını bitirin
