title,பேட்டரி மேலாளர் லைட் வேறுபட்டது
extend_life,பேட்டரி ஆயுளை நீட்டிக்க மற்றும் உங்களை ஆரோக்கியமாக வைத்திருக்க சிறந்த வழி அனுபவம் மற்றும் அறிவியல் ஆராய்ச்சியின் அடிப்படையிலானது.
measured,ஒரு வெளிப்படையான வழியில், உண்மையில் அளவிடப்பட்ட தரவு மற்றும் அது எவ்வாறு கணக்கிடப்படுகிறது என்பதை மட்டுமே நாங்கள் உங்களுக்குக் காட்டுகிறோம்.
healthy,உங்கள் பேட்டரியை ஆரோக்கியமாக வைத்திருங்கள்
double_battery,உங்கள் பேட்டரியை முழுமையாக சார்ஜ் செய்யாமல் இருப்பதன் மூலம் உங்கள் பேட்டரி ஆயுளை இரட்டிப்பாக்கவும். இதை விஞ்ஞானிகள் தங்கள் ஆராய்ச்சியில் நிரூபித்துள்ளனர்.
charge_limit,எங்கள் கட்டண வரம்பு அறிவிப்பைப் பயன்படுத்தி, பேட்டரி பயனர் வரையறுக்கப்பட்ட வரம்பை அடையும் போது அறிவிப்பு அனுப்பப்படும்.
smart,இது ஒவ்வொரு நாளும் புத்திசாலித்தனமாகிறது
analyze,நீங்கள் எவ்வளவு காலம் பேட்டரி மேலாளர் லைட்டைப் பயன்படுத்துகிறீர்களோ, அவ்வளவு சிறப்பாக உங்கள் பேட்டரியின் செயல்திறனைப் பகுப்பாய்வு செய்வோம்.
update_every_time,உங்கள் சாதனத்தைப் பயன்படுத்தும் அல்லது சார்ஜ் செய்யும் ஒவ்வொரு முறையும் மீதமுள்ள பேட்டரி ஆயுள் அளவீடு புதுப்பிக்கப்படும்.
runtime,உங்கள் பேட்டரியின் உண்மையான இயக்க நேரத்தைக் கண்டறியவும்
discharge_cycle,ஒவ்வொரு முறையும் உங்கள் ஃபோன் டிஸ்சார்ஜ் சுழற்சியில் செல்லும்போது, ​​அதன் இயக்க நேரத்தின் துல்லியமான மதிப்பீட்டை அளவிட முடியும்.
accurate_life,துல்லியமான பேட்டரி ஆயுளை அளவிட, பேட்டரி மேலாளர் லைட்டைப் பயன்படுத்தவும்.
no_exit,பேட்டரி மேலாளர் லைட்டிலிருந்து வெளியேற வேண்டாம்!
bg_require,பேட்டரி மேலாளர் லைட்டுக்கு பேட்டரி புள்ளிவிவரங்களைச் சேகரிக்கவும் பேட்டரி சார்ஜ் மற்றும் டிஸ்சார்ஜ் நேரத்தை அளவிடவும் பின்னணி சேவை தேவைப்படுகிறது. உங்கள் சாதனம் சேவையை நிறுத்தலாம் அல்லது ஆப்ஸ் மூடப்படும் போது அதை இயக்க அனுமதிக்காமல் இருக்கலாம். இதைத் தவிர்க்க, எங்களிடம் ஒரு நல்ல தீர்வு உள்ளது. இணைப்பை கிளிக் செய்யவும்.
man,கையேடு
cali,அளவுத்திருத்தம்
polarity,இந்த கட்டத்தில், பயன்பாடு சார்ஜிங் துருவமுனைப்பு மற்றும் உங்கள் பேட்டரியின் வடிவமைப்பு திறனைக் கண்டறியும்.
disch,வெளியேற்றம்
ch_pol,சார்ஜிங் துருவமுனைப்பு
power_meter,சக்தி அளவிடும் மானி
unit_mesure,அளவீட்டு அலகு
capacity,பேட்டரி திறன்
wrong,சரியில்லை?
calib,அளவீடு செய்
ye,ஆம்
no,இல்லை
neg,எதிர்மறை
pos,நேர்மறை
lunch,பயன்பாட்டைத் தொடங்கவும்
manufac,உற்பத்தியாளரின் படி திறன்
design_des,வடிவமைப்பு திறன் என்பது mAh இல் அளவிடப்படும் உண்மையான பேட்டரி திறன் ஆகும். திறனைக் கண்டறிய அதிகாரப்பூர்வ வழி இல்லாததால், வழங்கப்பட்ட மதிப்பு தவறாக இருக்கலாம்.
correct_it,காட்டப்படும் திறன் சரியாக இல்லை என்றால், அதை சரிசெய்யவும்.
cancel,ரத்து செய்
ok,சரி
runtime,பேட்டரி இயக்க நேரம்
wait,காத்திருக்கிறது
per_hr,ஒரு மணி நேரத்திற்கு பேட்டரி நுகர்வு
life_for,பேட்டரி ஆயுள்
battery_cond,பேட்டரி நிலை
bat_info,பேட்டரி தகவல்
bat_cap,பேட்டரி திறன்
bat_volt,பேட்டரி மின்னழுத்தம்
bat_cur,பேட்டரி மின்னோட்டம்
unit_mes,அளவீட்டு அலகு
done,முடிந்தது
c_bat_temp,தற்போதைய பேட்டரி வெப்பநிலை
min_bat_tem,குறைந்தபட்ச பேட்டரி வெப்பநிலை
mx_bat_tem,அதிகபட்ச பேட்டரி வெப்பநிலை
avg_bat_tem,சராசரி பேட்டரி வெப்பநிலை
dig_last,முந்தைய கடைசி நோயறிதல்
rem_time,மீதமுள்ள நேரம்
volt,மின்னழுத்தம்
curr,தற்போதைய
status,நிலை
run_time,நேரம் இயங்கும்
currently,தற்போது
avg,சராசரி
minmal,குறைந்தபட்சம்
maximal,அதிகபட்சம்
tool,கருவிகள்
rem_apps,பயன்பாடுகள் தேவையில்லாமல் இயங்குவதையும், உங்கள் பேட்டரியை வீணாக்குவதையும் தடுக்க நீங்கள் இனி பயன்படுத்தாத ஆப்ஸை நிறுவல் நீக்கவும்
uninst_apps,பயன்பாடுகளை நிறுவல் நீக்கவும்
stat,தொடங்கு
