title,Pugna Procurator Pro differt
extend_life,Optima via ad vitam altilium extendendi et sanam te servabit in experientia et investigatione scientifica.
measured,Perspicue modo tantum indicamus tibi datam actu mensurata et quomodo computata sit.
healthy,Serva tua altilium sanus
double_battery,Duplicare vitam tuam altilium non plene increpans tua altilium. Hoc physici in investigatione sua probaverunt.
charge_limit,Utendo praecepto nostro limite notificatio, notificatio mittetur cum pugna ad limen definitum usoris.
smart,Accipit smarter cotidie
analyze,Quo diutius Procurator Lite Pugna uteris, eo melius nos solvendo pugnae tuae effectum dabimus.
update_every_time,Reliquae autonomiae vitae mensurae renovantur omni tempore quo uteris vel praeceperis tuom.
runtime,Reveles ipsam runtime tui altilium
discharge_cycle,Singulis diebus telephonum cyclum emissum percurrit, accurata eius temporis aestimatio metiri potest.
accurate_life,Utere Pugna Procurator Lite ut metiretur accurate altilium vitam.
no_exit,Noli exire Pugna Procurator Lite!
bg_require,Pugna Procurator Lite requirit subiectum serviendi ad colligendas altilium statistics et mensurae altilium crimen et tempus missionis. Verisimile est tuom sistendi servitium vel non permittens currere cum app clausum est. Ad hoc evitandum, solutionem tibi bonam habemus. Deprime in pagina iusta.
man,Manual
cali,Calibration
polarity,In hoc gradu, app detegit verticitatem et consilium capacitatis tuae altilium.
disch,Dimittite
ch_pol,dato verticitatem
power_meter,Potentia metri
unit_mesure,Unitas mensurae
capacity,Pugna Capacitas
wrong,Non recte?
calib,Calibrate
ye,Ita
no,No
neg,Negative
pos,Positivum
lunch,Lorem App
manufac,Facultatem secundum fabrica
design_des,Consilium capacitatis est capacitas ipsa machinalis, mensurata in mAh. Cum officialis modus non est facultatem definiendi, iniuria valoris redditus erit.
correct_it,Si capacitas ostensa recte non est, placet illud corrigere.
cancel,Cancel
ok,Bene
runtime,Pugna Runtime
wait,exspectans
per_hr,Pugna consummatio per hora
life_for,Vita altilium
battery_cond,Pugna conditio
bat_info,Notitia altilium
bat_cap,Pugna facultatem
bat_volt,Pugna voltage
bat_cur,Pugna current
unit_mes,Unitas mensurae
done,Done
c_bat_temp,Current Pugna Temperature
min_bat_tem,Minimum altilium temperatus
mx_bat_tem,Maximum altilium temperatus
avg_bat_tem,Mediocris altilium temperatus
dig_last,Novissima diagnosis ante
rem_time,Reliquum tempus
volt,Voltage
curr,Current
status,Status
run_time,Currens tempus
currently,In statu
avg,Mediocris
minmal,Minimal
maximal,Maximum
tool,Tools
