title,Battery Manager Lite ແມ່ນແຕກຕ່າງກັນ
extend_life,ວິທີທີ່ດີທີ່ສຸດໃນການຍືດອາຍຸແບັດເຕີຣີ ແລະຮັກສາສຸຂະພາບດີແມ່ນອີງໃສ່ປະສົບການ ແລະການຄົ້ນຄວ້າວິທະຍາສາດ.
measured,ໃນທາງທີ່ໂປ່ງໃສ ພວກເຮົາພຽງແຕ່ສະແດງໃຫ້ທ່ານເຫັນຂໍ້ມູນຕົວຈິງທີ່ວັດແທກໄດ້ ແລະວິທີການຄິດໄລ່ມັນ.
healthy,ຮັກສາແບັດເຕີຣີຂອງທ່ານໃຫ້ດີ
double_battery,ເພີ່ມອາຍຸແບັດເຕີຣີຂອງທ່ານເປັນສອງເທົ່າໂດຍການສາກແບັດເຕີຣີຂອງທ່ານບໍ່ເຕັມ. ນັກວິທະຍາສາດໄດ້ພິສູດເລື່ອງນີ້ໃນການຄົ້ນຄວ້າຂອງພວກເຂົາ.
charge_limit,ໂດຍໃຊ້ການແຈ້ງເຕືອນການຈຳກັດການເກັບຄ່າຂອງພວກເຮົາ, ການແຈ້ງເຕືອນຈະຖືກສົ່ງເມື່ອແບັດເຕີຣີຮອດເກນທີ່ຜູ້ໃຊ້ກຳນົດໄວ້.
smart,ມັນສະຫຼາດຂຶ້ນທຸກໆມື້
analyze,ຍິ່ງເຈົ້າໃຊ້ Battery Manager Lite ດົນເທົ່າໃດ, ພວກເຮົາຈະວິເຄາະປະສິດທິພາບແບັດເຕີຣີຂອງເຈົ້າໄດ້ດີຂຶ້ນ.
update_every_time,ການວັດແທກອາຍຸແບັດເຕີຣີທີ່ເຫຼືອຈະຖືກອັບເດດທຸກຄັ້ງທີ່ທ່ານໃຊ້ ຫຼືສາກອຸປະກອນຂອງທ່ານ.
runtime,ຄົ້ນພົບເວລາແລ່ນຕົວຈິງຂອງແບັດເຕີຣີຂອງເຈົ້າ
discharge_cycle,ແຕ່ລະຄັ້ງທີ່ໂທລະສັບຂອງທ່ານຜ່ານຮອບວຽນການໄຫຼ, ການຄາດຄະເນທີ່ຖືກຕ້ອງຂອງເວລາແລ່ນຂອງມັນສາມາດຖືກວັດແທກໄດ້.
accurate_life,ໃຊ້ Battery Manager Lite ເພື່ອວັດແທກອາຍຸຂອງຫມໍ້ໄຟທີ່ຖືກຕ້ອງ.
no_exit,ຢ່າອອກຈາກ Battery Manager Lite!
bg_require,Battery Manager Lite ຕ້ອງການການບໍລິການພື້ນຫຼັງເພື່ອເກັບກຳສະຖິຕິແບັດເຕີຣີ ແລະວັດແທກການສາກແບັດເຕີຣີ ແລະເວລາປ່ອຍອອກ. ອຸ​ປະ​ກອນ​ຂອງ​ທ່ານ​ມີ​ແນວ​ໂນ້ມ​ທີ່​ຈະ​ຢຸດ​ບໍ​ລິ​ການ​ຫຼື​ບໍ່​ໃຫ້​ມັນ​ດໍາ​ເນີນ​ການ​ໃນ​ເວ​ລາ​ທີ່ app ໄດ້​ປິດ​. ເພື່ອຫຼີກເວັ້ນການນີ້, ພວກເຮົາມີການແກ້ໄຂທີ່ດີສໍາລັບທ່ານ. ພຽງແຕ່ຄລິກໃສ່ການເຊື່ອມຕໍ່.
man,ຄູ່ມື
cali,ການປັບທຽບ
polarity,ໃນ​ຂັ້ນ​ຕອນ​ນີ້​, app ຈະ​ກວດ​ພົບ​ຂົ້ວ​ການ​ສາກ​ໄຟ​ແລະ​ຄວາມ​ສາ​ມາດ​ອອກ​ແບບ​ຂອງ​ຫມໍ້​ໄຟ​ຂອງ​ທ່ານ​.
disch,ລົງຂາວ
ch_pol,ການສາກໄຟຂົ້ວ
power_meter,ເຄື່ອງວັດແທກພະລັງງານ
unit_mesure,ຫົວໜ່ວຍວັດແທກ
capacity,ຄວາມອາດສາມາດຫມໍ້ໄຟ
wrong,ບໍ່ຖືກຕ້ອງ?
calib,Calibrate
ye,ແມ່ນແລ້ວ
no,ບໍ່
neg,ລົບ
pos,ບວກ
lunch,ເປີດໃຊ້ແອັບ
manufac,ຄວາມອາດສາມາດຕາມຜູ້ຜະລິດ
