title,Battery Manager Lite שונה
extend_life,הדרך הטובה ביותר להאריך את חיי הסוללה ולשמור על בריאותך מבוססת על ניסיון ומחקר מדעי.
measured,בצורה שקופה אנו מציגים לך רק את הנתונים שנמדדו בפועל וכיצד הם מחושבים.
healthy,שמור על הסוללה שלך בריאה
double_battery,הכפיל את חיי הסוללה שלך על ידי אי טעינה מלאה של הסוללה. מדענים הוכיחו זאת במחקריהם.
charge_limit,באמצעות הודעת מגבלת הטעינה שלנו, תישלח הודעה כאשר הסוללה תגיע לסף מוגדר על ידי המשתמש.
smart,זה נעשה חכם יותר מיום ליום
analyze,ככל שתשתמש ב-Battery Manager Lite זמן רב יותר, כך נשתפר בניתוח ביצועי הסוללה שלך.
update_every_time,מדידת חיי הסוללה שנותרה מתעדכנת בכל פעם שאתה משתמש או מטעין את המכשיר שלך.
runtime,גלה את זמן הריצה האמיתי של הסוללה שלך
discharge_cycle,בכל פעם שהטלפון שלך עובר מחזור פריקה, ניתן למדוד הערכה מדויקת של זמן הריצה שלו.
accurate_life,השתמש ב-Battery Manager Lite כדי למדוד חיי סוללה מדויקים.
no_exit,אל תצא מ-Battery Manager Lite!
bg_require,Battery Manager Lite דורש שירות רקע כדי לאסוף נתונים סטטיסטיים של הסוללה ולמדוד את זמן הטעינה והפריקה של הסוללה. סביר להניח שהמכשיר שלך מפסיק את השירות או לא מאפשר לו לפעול כשהאפליקציה סגורה. כדי להימנע מכך, יש לנו פתרון טוב עבורך. פשוט לחץ על הקישור.
man,מדריך ל
cali,כִּיוּל
polarity,בשלב זה, האפליקציה מזהה את קוטביות הטעינה ואת הקיבולת העיצובית של הסוללה שלך.
disch,פְּרִיקָה
ch_pol,קוטביות טעינה
power_meter,מד כוח
unit_mesure,יחידת מידה
capacity,קיבולת סוללה
wrong,לא נכון?
calib,לְדַרֵג
ye,כן
no,לא
neg,שלילי
pos,חִיוּבִי
lunch,אפליקציית צהריים
manufac,קיבולת לפי היצרן
design_des,קיבולת העיצוב היא קיבולת הסוללה בפועל, נמדדת ב-mAh. מכיוון שאין דרך רשמית לקבוע את הקיבולת, ייתכן שהערך המוחזר שגוי.
correct_it,אם הקיבולת המוצגת אינה נכונה, אנא תקן אותה.
cancel,לְבַטֵל
ok,בסדר
runtime,זמן ריצת סוללה
wait,הַמתָנָה
per_hr,צריכת סוללה לשעה
life_for,חיי סוללה עבור
battery_cond,מצב הסוללה
bat_info,מידע על הסוללה
bat_cap,קיבולת סוללה
bat_volt,מתח הסוללה
bat_cur,זרם סוללה
unit_mes,יחידת מידה
done,בוצע
c_bat_temp,טמפרטורת הסוללה הנוכחית
min_bat_tem,טמפרטורת סוללה מינימלית
mx_bat_tem,טמפרטורת סוללה מקסימלית
avg_bat_tem,טמפרטורת סוללה ממוצעת
dig_last,אבחנה אחרונה לפני
rem_time,זמן שנותר
volt,מתח
curr,נוֹכְחִי
status,סטָטוּס
run_time,זמן ריצה
currently,כַּיוֹם
avg,מְמוּצָע
minmal,מִינִימָלִי
maximal,מַקסִימוּם
tool,כלים
rem_apps,הסר התקנה של אפליקציות שאינך משתמש בהן יותר כדי למנוע מאפליקציות לפעול שלא לצורך ולרוקן את הסוללה
uninst_apps,הסר התקנה של אפליקציות
stat,הַתחָלָה
act_eng_save,הפעל את מצב חיסכון באנרגיה כדי להפחית את צריכת הסוללה
pow_save,מצב חיסכון בחשמל
tempe,טֶמפֶּרָטוּרָה
heal,בְּרִיאוּת
