title,Battery Manager Lite 与众不同
extend_life,延长电池寿命和保持健康的最佳方法是基于经验和科学研究。
measured,我们以透明的方式只向您展示实际测量的数据及其计算方法。
healthy,保持电池健康
double_battery,不给电池充满电可使电池寿命延长一倍。科学家们已经在他们的研究中证明了这一点。
charge_limit,使用我们的充电限制通知，当电池达到用户定义的阈值时将发送通知。
smart,它每天都变得更聪明
analyze,您使用 Battery Manager Lite 的时间越长，我们就越能更好地分析您的电池性能。
update_every_time,每次使用设备或为设备充电时，剩余电池寿命测量值都会更新。
runtime,发现电池的实际运行时间
discharge_cycle,每次您的手机经历放电周期时，都可以测量其运行时间的准确估计。
accurate_life,使用 Battery Manager Lite 来测量准确的电池寿命。
no_exit,不要退出 Battery Manager Lite！
bg_require,Battery Manager Lite 需要后台服务来收集电池统计信息并测量电池充电和放电时间。当应用程序关闭时，您的设备可能会停止服务或不允许它运行。为避免这种情况，我们为您提供了一个很好的解决方案。只需点击链接。
man,手动的
cali,校准
polarity,在此步骤中，应用程序会检测电池的充电极性和设计容量​​。
disch,释放
ch_pol,充电极性
power_meter,功率计
unit_mesure,测量单位
capacity,电池容量
wrong,不对？
calib,校准
ye,是的
no,不
neg,消极的
pos,积极的
lunch,启动应用程序
manufac,容量根据制造商
design_des,设计容量为实际电池容量，单位为mAh。由于没有官方的方法来确定容量，返回的值可能是错误的。
correct_it,如果显示的容量不正确，请更正。
cancel,取消
ok,好的
runtime,电池运行时间
wait,等待
per_hr,每小时电池消耗
life_for,电池寿命
battery_cond,电池状况
bat_info,电池信息
bat_cap,电池容量
bat_volt,电池电压
bat_cur,电池电流
unit_mes,测量单位
done,完毕
c_bat_temp,当前电池温度
min_bat_tem,最低电池温度
mx_bat_tem,最高电池温度
avg_bat_tem,平均电池温度
dig_last,上次诊断时间早于
rem_time,剩余时间
volt,电压
curr,当前的
status,地位
run_time,运行时间
currently,目前
avg,平均
minmal,最小的
maximal,最大
tool,工具
rem_apps,卸载不再使用的应用程序，以防止应用程序不必要地运行并耗尽电池电量
uninst_apps,卸载应用程序
stat,开始
act_eng_save,激活节能模式以减少电池消耗
pow_save,节能模式
tempe,温度
heal,健康
tips,通过提示和技巧让您的电池保持良好状态。
recomm,建议
prem,优质的
more_func,为您提供更多功能。获得溢价，获得更多。
more,更多的
ur_cond_bat,电池状态是
ur_bat_life,你的电池寿命是
ur_bat_temp,您的电池温度是
wow,出色的
normal,普通的
poor,不良
days,天
mins,分钟
hrs,小时
chging,收费
ful,满的
dis_chrg,放电
unkn,未知
too_lit,电池数据太少
car_any,无论如何执行
endz_,结尾
dig_any,为了获得更好的诊断结果，该应用程序需要在后台分析您的电池。请在24小时后开始诊断
end_dig,结束诊断
quit_dig,真的退出诊断
batty_temp,电池温度
akku_manager,阿库经理
u_agree,点击“START”即表示您同意数据保护条例
elemn_opti,可以优化元素
looks_good,一切看起来都不错
optimize_,优化
toolz_,工具
akku_check,阿库支票
ctrl_load,受控加载
mng_apps,管理应用程序
infosm,信息
tenzion,紧张
electy,电
lvl,等级
akku_man_premium,Akku 经理溢价
premimum_highlight,使用电池管理器完全没有广告，您可以访问用户界面的广泛定制。
design,设计
subjs,科目
genrally,一般来说
temp_unit,温度单位
oth_apps,其他应用
dat_protect,数据保护
thx_akku,感谢您支持 Akku Manager 购买高级版。
user_got_pre,您现在可以在没有广告的情况下访问用户界面和使用的广泛定制。
exp_more,您可以期待未来更新中的更多功能
ap_optimiz,应用优化
sys_bat_usage,系统电池消耗
bat_usage_det,电池使用详情
end_optiz,结束优化
abort,中止
break_up,分手
scn,扫描
scn_bgh,屏幕亮度
dact_wlan,停用 WLAN
dact_save_batt,停用以节省电池
dact,停用
dact_ble,停用蓝牙
red_brigh,降低亮度
bright_txt,降低显示屏的亮度以节省电池电量
to_reduce,减少
dact_gps,停用 GPS
appz_optimz,应用优化
