title,Battery Manager Lite berbeda
extend_life,Cara terbaik untuk memperpanjang masa pakai baterai dan menjaga kesehatan Anda didasarkan pada pengalaman dan penelitian ilmiah.
measured,Secara transparan kami hanya menampilkan data yang sebenarnya diukur dan bagaimana cara menghitungnya.
healthy,Jaga kesehatan baterai Anda
double_battery,Gandakan masa pakai baterai Anda dengan tidak mengisi penuh baterai Anda. Para ilmuwan telah membuktikannya dalam penelitian mereka.
charge_limit,Dengan menggunakan pemberitahuan batas muatan kami, pemberitahuan akan dikirim saat baterai mencapai ambang batas yang ditentukan pengguna.
smart,Semakin pintar setiap hari
analyze,Semakin lama Anda menggunakan Battery Manager Lite, semakin baik kami menganalisis kinerja baterai Anda.
update_every_time,Pengukuran masa pakai baterai yang tersisa diperbarui setiap kali Anda menggunakan atau mengisi daya perangkat.
runtime,Temukan runtime sebenarnya dari baterai Anda
discharge_cycle,Setiap kali ponsel Anda melewati siklus pengosongan, perkiraan waktu prosesnya yang akurat dapat diukur.
accurate_life,Gunakan Battery Manager Lite untuk mengukur masa pakai baterai yang akurat.
no_exit,Jangan keluar dari Battery Manager Lite!
bg_require,Battery Manager Lite memerlukan layanan latar belakang untuk mengumpulkan statistik baterai dan mengukur waktu pengisian dan pengosongan baterai. Perangkat Anda kemungkinan menghentikan layanan atau tidak mengizinkannya berjalan saat aplikasi ditutup. Untuk menghindari hal ini, kami memiliki solusi yang baik untuk Anda. Tekan saja tautannya.
man,Manual
cali,Kalibrasi
polarity,Pada langkah ini, aplikasi mendeteksi polaritas pengisian daya dan kapasitas desain baterai Anda.
disch,Memulangkan
ch_pol,Pengisian polaritas
power_meter,Pengukur daya
unit_mesure,Satuan pengukuran
capacity,Kapasitas baterai
wrong,Tidak benar?
calib,Menyesuaikan
ye,Ya
no,Tidak
neg,Negatif
pos,Positif
lunch,Luncurkan Aplikasi
manufac,Kapasitas sesuai pabrikan
design_des,Kapasitas desain adalah kapasitas baterai sebenarnya, diukur dalam mAh. Karena tidak ada cara resmi untuk menentukan kapasitas, nilai yang dikembalikan mungkin salah.
correct_it,Jika kapasitas yang ditampilkan tidak benar, harap perbaiki.
cancel,Membatalkan
ok,Oke
runtime,Waktu Kerja Baterai
wait,menunggu
per_hr,Konsumsi baterai per jam
life_for,Masa pakai baterai untuk
battery_cond,Kondisi baterai
bat_info,Informasi baterai
bat_cap,Kapasitas baterai
bat_volt,Tegangan baterai
bat_cur,Arus baterai
unit_mes,Satuan pengukuran
done,Selesai
c_bat_temp,Suhu Baterai Saat Ini
min_bat_tem,Suhu baterai minimum
mx_bat_tem,Suhu baterai maksimum
avg_bat_tem,Suhu baterai rata-rata
dig_last,Diagnosis terakhir sebelumnya
rem_time,Waktu yang tersisa
volt,Voltase
curr,Saat ini
status,Status
run_time,Durasi
currently,Saat ini
avg,Rata-rata
minmal,Minimal
maximal,Maksimum
tool,Peralatan
rem_apps,Copot pemasangan aplikasi yang tidak lagi Anda gunakan untuk mencegah aplikasi berjalan tidak perlu dan menguras baterai Anda
uninst_apps,Copot Aplikasi
stat,Awal
act_eng_save,Aktifkan mode hemat energi untuk mengurangi konsumsi baterai
pow_save,Mode hemat daya
tempe,Suhu
heal,Kesehatan
tips,Jaga Baterai Anda dalam kondisi baik dengan tip dan trik.
recomm,Rekomendasi
prem,Premium
more_func,Lebih banyak fungsi untuk Anda. Dapatkan premium, dapatkan lebih banyak.
more,Lagi
ur_cond_bat,Kondisi baterai
ur_bat_life,Masa pakai baterai Anda adalah
ur_bat_temp,Suhu Baterai Anda
wow,Bagus sekali
normal,Normal
poor,Buruk
days,Hari
mins,Menit
hrs,Jam
chging,Mengisi daya
ful,Penuh
dis_chrg,Pengosongan
unkn,Tidak dikenal
too_lit,Data Baterai terlalu sedikit
car_any,Tetap jalani
endz_,Akhir
dig_any,Untuk mendapatkan hasil diagnostik yang lebih baik, aplikasi perlu menganalisis baterai Anda di latar belakang. Silakan mulai diagnosis setelah 24 jam
end_dig,Akhiri diagnosis
quit_dig,Benar-benar Keluar dari Diagnosis
batty_temp,Suhu baterai
akku_manager,Manajer Akku
u_agree,Dengan "MULAI" Anda menyetujui peraturan perlindungan data
elemn_opti,Elemen dapat dioptimalkan
looks_good,Semuanya terlihat bagus
optimize_,Optimalkan
toolz_,Peralatan
akku_check,Cek Akku
ctrl_load,Pemuatan terkendali
mng_apps,Kelola aplikasi
infosm,Informasi
tenzion,ketegangan
electy,listrik
lvl,Tingkat
akku_man_premium,Premium Manajer Akku
premimum_highlight,Gunakan Pengelola Baterai sepenuhnya tanpa iklan dan Anda memiliki akses ke penyesuaian ekstensif antarmuka pengguna.
design,Rancangan
subjs,mata pelajaran
genrally,Umumnya
temp_unit,Satuan suhu
oth_apps,Aplikasi lain
dat_protect,Perlindungan data
thx_akku,Terima kasih telah mendukung Manajer Akku dengan pembelian versi premium.
user_got_pre,Anda sekarang memiliki akses ke penyesuaian ekstensif antarmuka pengguna dan penggunaan tanpa iklan.
exp_more,Anda dapat mengharapkan lebih banyak fitur di pembaruan mendatang
ap_optimiz,Pengoptimalan aplikasi
sys_bat_usage,Konsumsi baterai sistem
bat_usage_det,Detail penggunaan baterai
end_optiz,Mengakhiri pengoptimalan
abort,Menggugurkan
break_up,putus
scn,memindai
scn_bgh,Kecerahan layar
dact_wlan,Nonaktifkan WLAN
dact_save_batt,Nonaktifkan untuk menghemat baterai
dact,Menonaktifkan
dact_ble,Nonaktifkan bluetooth
red_brigh,Kurangi kecerahan
bright_txt,Kurangi kecerahan layar untuk menghemat baterai
to_reduce,Untuk mengurangi
dact_gps,Nonaktifkan GPS
appz_optimz,Aplikasi dioptimalkan
start_bat_check_det,Mulai pemeriksaan baterai mendetail untuk selalu berada di sisi yang aman
act_eng_save,Aktifkan mode hemat energi untuk mengurangi konsumsi baterai
remove_useless,Uninstall aplikasi yang sudah tidak digunakan lagi
premium,Premium
clear_mem,Bersihkan memori
clear_mem_des,Sehingga smartphone Anda berjalan dengan cepat dan lancar.
clenaup,Membersihkan
rat,peringkat
rat_free,Nilai Pengelola Baterai secara gratis
sendz,Kirim
elmn_found,Elemen ditemukan
drumz,Drum
status,Status
end_akk_check,Akhiri pemeriksaan baterai
bat_detlz,Detail baterai
temp_checked,Suhu diperiksa
cond_checked,Kondisi baterai diperiksa
checkz_start,Pemeriksaan baterai dimulai
plug_in,Dicolokkan
techz,Teknologi
coldz,Dingin
until,Sampai
well,Sehat
ovr_heat,Terlalu panas
ovr_load,Kelebihan muatan
renam,berganti nama
not_def,tidak terdefinisikan
chrgz,Mengenakan biaya
full,Penuh
unloadz,Bongkar
not_charge_unkn,tidak dikenakan biaya atau tidak diketahui
usb,USB
charger,pengisi daya
wless,nirkabel
not_at_al,tidak ada sama sekali
uninstall,Copot pemasangan
update,Untuk memperbaharui
setting,Pengaturan
app,Aplikasi
not_found,Aplikasi tidak ditemukan
search,Cari aplikasi
version_code,Kode Versi
api_level,Tingkat API
app_version,Versi Aplikasi
authorization,otorisasi
open,membuka
play_store,Mainkan Toko
control,kontrol
systemstandart,Standar sistem
white,Putih
dark,Gelap
ocean,Laut
black,Hitam
dark_blue,Biru tua
excellent,Bagus sekali
bad,Buruk
battery_bad,Baterai sedikit rusak
very_bad,Sangat buruk
battery_damaged,Baterai rusak
custom_mode,Mode Kustom
brightness,Kecerahan
automatic_brightness,Kecerahan Otomatis
normal,Normal
sound_modus,Modus Suara
tone_work,Semua Nada Bekerja
mute,Bisu
call_note_mute,Panggilan dan notifikasi dibisukan
not_bother,Jangan ganggu
tones_vibration_mute,Matikan nada dan getaran, kecuali nada alarm
sound,Kedengarannya
music,musik
notification,Pemberitahuan
alarm,Alarm
ultra_saving,Mode hemat energi ultra
edit,Untuk mengedit
disable_ultra_saving,Nonaktifkan Mode Hemat Energi Ultra
min_remaining,menit tersisa
hours,jam
activted_ultra_saving,Mode hemat energi ultra diaktifkan
charged_in,dibebankan
min,min
limit_power,Batasi konsumsi daya
reduce_screen,Kurangi kecerahan layar
restrict_bg_act_explain,Batasi aktivitas latar belakang
volatge_check,Tegangan diperiksa
software_optimized,Perangkat lunak dioptimalkan
connect_charger,Hubungkan pengisi daya
charger_removed,Pengisi daya dapat dilepas
power_consump_title,Konsumsi daya
srcn_bg_title,Kecerahan layar
bg_al_activities,Kegiatan latar belakang
sftware,Perangkat lunak
get_primium,Jika Anda membeli versi premium, Anda akan mendapatkan semua fungsi saat ini serta semua fungsi baru di masa mendatang.
cuztomize_face,Kustomisasi antarmuka pengguna
comp_scheme,Susun skema warna Pengelola Baterai Anda dari berbagai tema.
bat_check_detail,Pemeriksaan baterai terperinci
check_cond_test,Gunakan Battery Manager untuk mengecek kondisi baterai Anda agar selalu aman.
no_ads_yo,Tidak ada iklan
use_explain_noads,Gunakan Pengelola Baterai tanpa iklan apa pun
act_energy_save,Aktifkan mode hemat energi ultra untuk meningkatkan masa pakai baterai dalam keadaan darurat.
buy_title,Beli Premium
loc_title,Lokasi
cap_title,kapasitas
cap_remain,Kapasitas yang tersisa
sleepy,Tidur
sek,Detik
sing_min,Menit
miniotes,Menit
finish,Selesai
mobi_data,data seluler
plz_rate,Silakan beri peringkat Pengelola Baterai di Play Store
ur_data_cus,Bisakah kami terus menggunakan data Anda untuk menyesuaikan iklan untuk Anda?
in_slep_mode,Dalam mode tidur
in_use,Digunakan
with_curr_pow,Dengan konsumsi daya saat ini
rem_bat_life,Sisa masa pakai baterai
qck_acc,Akses cepat
