title,يختلف Battery Manager Lite
extend_life,تعتمد أفضل طريقة لإطالة عمر البطارية والحفاظ على صحتك على الخبرة والبحث العلمي.
measured,بطريقة شفافة نعرض لك فقط البيانات التي تم قياسها بالفعل وكيفية حسابها.
healthy,حافظ على صحة بطاريتك
double_battery,ضاعف عمر البطارية من خلال عدم شحن البطارية بالكامل. لقد أثبت العلماء ذلك في أبحاثهم.
charge_limit,باستخدام إشعار حد الشحن الخاص بنا ، سيتم إرسال إشعار عندما تصل البطارية إلى حد يحدده المستخدم.
smart,يصبح أكثر ذكاء كل يوم
analyze,كلما طالت مدة استخدامك لـ Battery Manager Lite ، كان من الأفضل لنا تحليل أداء البطارية.
update_every_time,يتم تحديث قياس عمر البطارية المتبقي في كل مرة تستخدم فيها جهازك أو تشحنه.
runtime,اكتشف وقت التشغيل الفعلي لبطاريتك
discharge_cycle,في كل مرة يمر فيها هاتفك بدورة تفريغ ، يمكن قياس تقدير دقيق لوقت تشغيله.
accurate_life,استخدم Battery Manager Lite لقياس عمر البطارية بدقة.
no_exit,لا تخرج من Battery Manager Lite!
bg_require,يتطلب Battery Manager Lite خدمة في الخلفية لجمع إحصاءات البطارية وقياس شحن البطارية ووقت تفريغها. من المحتمل أن يوقف جهازك الخدمة أو لا يسمح لها بالعمل عند إغلاق التطبيق. لتجنب هذا ، لدينا حل جيد لك. فقط إضغط على الرابط.
man,يدوي
cali,معايرة
polarity,في هذه الخطوة ، يكتشف التطبيق قطبية الشحن وسعة تصميم بطاريتك.
disch,تسريح
ch_pol,قطبية الشحن
power_meter,مقياس الطاقة
unit_mesure,وحدة قياس
capacity,قدرة البطارية
wrong,ليس صحيحا؟
calib,معايرة
ye,نعم
no,رقم
neg,سلبي
pos,إيجابي
lunch,إطلاق التطبيق
manufac,القدرة حسب الشركة المصنعة
design_des,السعة التصميمية هي السعة الفعلية للبطارية ، مقاسة بالمللي أمبير. نظرًا لعدم وجود طريقة رسمية لتحديد السعة ، فقد تكون القيمة المرتجعة خاطئة.
correct_it,إذا كانت السعة المعروضة غير صحيحة ، فيرجى تصحيحها.
cancel,يلغي
ok,تمام
runtime,وقت تشغيل البطارية
wait,انتظار
per_hr,استهلاك البطارية في الساعة
life_for,عمر البطارية لـ
battery_cond,حالة البطارية
bat_info,معلومات البطارية
bat_cap,قدرة البطارية
bat_volt,قوة البطارية
bat_cur,تيار البطارية
unit_mes,وحدة قياس
done,فعله
c_bat_temp,درجة حرارة البطارية الحالية
min_bat_tem,أدنى درجة حرارة للبطارية
mx_bat_tem,أقصى درجة حرارة للبطارية
avg_bat_tem,متوسط ​​درجة حرارة البطارية
dig_last,آخر تشخيص من قبل
rem_time,الوقت المتبقي
volt,الجهد االكهربى
curr,تيار
status,حالة
run_time,وقت الركض
currently,حالياً
avg,متوسط
minmal,الحد الأدنى
maximal,أقصى
tool,أدوات
rem_apps,قم بإلغاء تثبيت التطبيقات التي لم تعد تستخدمها لمنع تشغيل التطبيقات دون داع واستنزاف البطارية
uninst_apps,إلغاء تثبيت التطبيقات
stat,بداية
act_eng_save,قم بتنشيط وضع توفير الطاقة لتقليل استهلاك البطارية
pow_save,وضع توفير الطاقة
tempe,درجة الحرارة
heal,صحة
tips,حافظ على بطاريتك في حالة جيدة من خلال النصائح والحيل.
recomm,التوصيات
prem,الممتازة
more_func,المزيد من الوظائف لك. احصل على قسط ، احصل على المزيد.
more,أكثر
ur_cond_bat,حالة البطارية
ur_bat_life,عمر البطارية هو
ur_bat_temp,درجة حرارة البطارية لديك
wow,ممتاز
normal,طبيعي
poor,سيء
days,أيام
mins,الدقائق
hrs,ساعات
chging,الشحن
ful,ممتلئ
dis_chrg,التفريغ
unkn,مجهول
too_lit,بيانات البطارية قليلة جدًا
car_any,نفذ على أي حال
endz_,نهاية
dig_any,من أجل الحصول على نتائج تشخيصية أفضل ، يحتاج التطبيق إلى تحليل بطاريتك في الخلفية. يرجى بدء التشخيص بعد 24 ساعة
end_dig,التشخيص النهائي
quit_dig,حقا قم بإنهاء التشخيص
batty_temp,درجة حرارة البطارية
akku_manager,مدير Akku
u_agree,مع "START" فإنك توافق على لوائح حماية البيانات
elemn_opti,يمكن تحسين العناصر
looks_good,كل شيء يبدو جيدا
optimize_,تحسين
toolz_,أدوات
akku_check,تحقق Akku
ctrl_load,التحكم في التحميل
mng_apps,إدارة التطبيقات
infosm,معلومة
tenzion,توتر
electy,كهرباء
lvl,مستوى
akku_man_premium,Akku Manager Premium
premimum_highlight,استخدم Battery Manager بالكامل بدون إعلانات ولديك حق الوصول إلى التخصيص الشامل لواجهة المستخدم.
design,تصميم
subjs,المواضيع
genrally,عمومًا
temp_unit,درجة الحرارة وحدة
oth_apps,تطبيقات أخرى
dat_protect,حماية البيانات
thx_akku,شكرًا لك على دعم Akku Manager بشراء الإصدار المتميز.
user_got_pre,يمكنك الآن الوصول إلى التخصيص الشامل لواجهة المستخدم والاستخدام بدون إعلانات.
exp_more,يمكنك توقع المزيد من الميزات في التحديثات المستقبلية
ap_optimiz,تحسين التطبيق
sys_bat_usage,استهلاك بطارية النظام
bat_usage_det,تفاصيل استخدام البطارية
end_optiz,نهاية التحسين
abort,إحباط
break_up,انفصل
scn,لمسح
scn_bgh,سطوع الشاشة
dact_wlan,قم بإلغاء تنشيط WLAN
dact_save_batt,قم بإلغاء التنشيط لحفظ البطارية
dact,تعطيل
dact_ble,قم بإلغاء تنشيط البلوتوث
red_brigh,تقليل السطوع
bright_txt,قلل سطوع الشاشة لتوفير طاقة البطارية
to_reduce,لتقليل
dact_gps,قم بإلغاء تنشيط GPS
appz_optimz,تطبيقات محسّنة
start_bat_check_det,ابدأ فحصًا مفصلاً للبطارية لتكون دائمًا في الجانب الآمن
act_eng_save,قم بتنشيط وضع توفير الطاقة لتقليل استهلاك البطارية
remove_useless,قم بإلغاء تثبيت التطبيقات التي لم تعد مستخدمة
premium,الممتازة
clear_mem,نظف الذاكرة
clear_mem_des,حتى يعمل هاتفك الذكي بسرعة وسلاسة.
clenaup,تنظيف
rat,تقييم
rat_free,معدل مدير البطارية مجانا
sendz,إرسال
elmn_found,تم العثور على العناصر
drumz,طبول
status,حالة
end_akk_check,إنهاء فحص البطارية
bat_detlz,تفاصيل البطارية
temp_checked,يتم فحص درجة الحرارة
cond_checked,تم فحص حالة البطارية
checkz_start,يبدأ فحص البطارية
plug_in,موصول
techz,تكنولوجيا
coldz,البرد
until,حتى
well,نحن سوف
ovr_heat,ارتفاع درجة الحرارة
ovr_load,الزائد
renam,أعيدت تسميته
not_def,غير معرف
chrgz,تكلفة
full,ممتلئ
unloadz,التفريغ
not_charge_unkn,غير مشحون أو غير معروف
usb,USB
charger,شاحن
wless,لاسلكي
not_at_al,لاشىء على الاطلاق
uninstall,الغاء التثبيت
update,للتحديث
setting,إعدادات
app,تطبيقات
not_found,التطبيق غير موجود
search,تطبيقات البحث
version_code,كود الإصدار
api_level,مستوى API
app_version,نسخة التطبيق
authorization,تفويض
open,لفتح
play_store,متجر Play
control,مراقبة
systemstandart,نظام قياسي
white,أبيض
dark,مظلم
ocean,محيط
black,أسود
dark_blue,أزرق غامق
excellent,ممتاز
bad,سيئ
battery_bad,البطارية تالفة بشكل طفيف
very_bad,سيئ جدا
battery_damaged,البطارية تالفة
custom_mode,الوضع المخصص
brightness,سطوع
automatic_brightness,سطوع تلقائي
normal,طبيعي
sound_modus,وضع الصوت
tone_work,جميع النغمات تعمل
mute,صامت
call_note_mute,تم كتم صوت المكالمات والإشعارات
not_bother,لا تهتم
tones_vibration_mute,قم بإيقاف تشغيل النغمات والاهتزازات ، باستثناء نغمات التنبيه
sound,اصوات
music,موسيقى
notification,تنبيه
alarm,إنذار
ultra_saving,وضع توفير الطاقة الفائق
edit,للتعديل
disable_ultra_saving,تعطيل وضع توفير الطاقة الفائق
min_remaining,دقيقة متبقية
hours,ساعات
activted_ultra_saving,تم تنشيط وضع توفير الطاقة الفائق
charged_in,مشحونة في
min,دقيقة
limit_power,الحد من استهلاك الطاقة
reduce_screen,تقليل سطوع الشاشة
restrict_bg_act_explain,تقييد أنشطة الخلفية
volatge_check,يتم فحص الجهد
software_optimized,تم تحسين البرنامج
connect_charger,قم بتوصيل الشاحن
charger_removed,يمكن إزالة الشاحن
power_consump_title,استهلاك الطاقة
srcn_bg_title,سطوع الشاشة
bg_al_activities,أنشطة الخلفية
sftware,برمجة
get_primium,إذا قمت بشراء الإصدار المتميز ، فستحصل على جميع الوظائف الحالية بالإضافة إلى جميع الوظائف الجديدة في المستقبل.
cuztomize_face,تخصيص واجهة المستخدم
comp_scheme,قم بتكوين نظام ألوان مدير البطارية الخاص بك من مجموعة متنوعة من السمات.
bat_check_detail,فحص مفصل للبطارية
check_cond_test,استخدم Battery Manager للتحقق من حالة البطارية لتكون دائمًا في الجانب الآمن.
no_ads_yo,لا اعلانات
use_explain_noads,استخدم Battery Manager دون أي إعلان
act_energy_save,قم بتنشيط وضع توفير الطاقة الفائق لزيادة عمر البطارية في حالات الطوارئ.
buy_title,شراء قسط
loc_title,موقع
cap_title,الاهلية
cap_remain,القدرة المتبقية
sleepy,ينام
sek,ثواني
sing_min,اللحظة
miniotes,الدقائق
finish,تم الانتهاء من
mobi_data,بيانات الجوال
plz_rate,يرجى تقييم Battery Manager في متجر Play
ur_data_cus,هل يمكننا الاستمرار في استخدام بياناتك لتخصيص الإعلانات لك؟
in_slep_mode,في وضع السكون
in_use,في الاستخدام
with_curr_pow,مع استهلاك الطاقة الحالي
rem_bat_life,عمر البطارية المتبقي
qck_acc,وصول سريع
notif_txt,تنبيه
notif_at,يخطر في
chg_curr,التيار الشاحن
charge_perm,أداء الشحن
maxi_charge_per,أداء الشحن الأقصى
enb_notif,تفعيل الإشعارات
perm_send_notif,يتطلب Battery Manager إذنًا لإرسال إشعار ، ويجب تنشيطه في إعدادات الجهاز.
to_set,إلى الإعدادات
title_autost,تفعيل Autostart
auto_explain,يتطلب Battery Manager إذنًا للبقاء نشطًا في الخلفية للاستعلام عن حالة البطارية وإرسال إشعار.
sync_auto,تزامن تلقائيا
dis_auto_sync,يؤدي تعطيل المزامنة التلقائية إلى تقليل wakelocks بشكل كبير. ومع ذلك ، ستفقد بعض الوظائف مثل استلام البريد الإلكتروني.
chg_lim,حد الشحن
avoid_ful_explain,إذا قمت بشحن البطارية إلى أقصى حد أو قمت بتفريغها حتى يتم إيقاف تشغيلها ، فسيتم تقليل حالة البطارية وعمرها الافتراضي. في ما يلي يمكنك تعيين الحد الأدنى والحد الأقصى للشحن أو حالة تفريغ البطارية وسيتم إعلامك في كل مرة يتم فيها الوصول إلى قيمة الحد. تجنب الشحن الكامل للبطارية وتفريغها وإطالة عمر البطارية.
rec_notif,لم يتم استلام إشعار؟
title_allow_bg_act,السماح بنشاط الخلفية
allow_bg_act,لكي تتمكن من استخدام Battery Manager دون قيود دون أن يغلقه نظام التشغيل عن غير قصد ، قد تضطر إلى إيقاف تشغيل الوظائف الخاصة لإدارة البطارية واستخدام البطارية في الإعدادات. لأن الشركات المصنعة المختلفة تختلف في تعيين هذه الخيارات اعتمادًا على نظام التشغيل المستخدم. في منطقة معلومات التطبيق ، ضمن السكون أو البطارية ، حدد بلا قيود أو السماح بنشاط الخلفية.
dev_usage,استخدام الجهاز
dep_sleep,السكون العميق هو حالة يستخدم فيها جهازك أقل قدر من البطارية. مدة النوم العميق لها تأثير إيجابي على توفير الطاقة. يمكن مقاطعة النوم العميق من خلال مهام الخلفية ، مما يؤدي إلى تفريغ البطارية بشكل أسرع. في هذه الحالة ، أعد تشغيل جهازك.
title_bat_temp,درجة حرارة البطارية
bat_tempp,تعتبر درجة حرارة البطارية من أهم العوامل. إذا تم الاحتفاظ بالهلام بالبطارية في درجات حرارة عالية ، فإن ذلك يؤثر على عمر الخدمة وأداء البطارية. إذا ارتفعت درجة الحرارة ، فقد يتلف الهيكل الداخلي للبطارية.
rdc_brightness,تقليل سطوع الشاشة
display_explain,الشاشة هي أحد المكونات التي تستهلك معظم الطاقة. يساعد تقليل الحد الأقصى من السطوع على تقليل الاستهلاك الكلي وتحقيق وفورات ملحوظة. قبل تقليل السطوع ، قم بإلغاء تنشيط السطوع التلقائي حتى لا يتغير السطوع دون داع.
tst_charge,اختبار الشاحن
best_way_test,أفضل طريقة لاختبار الشاحن والكابل هي التحقق من سرعة الشحن مع إيقاف تشغيل الشاشة. سرعة الشحن عند تشغيل الشاشة ليست معيارًا جيدًا لأن هاتفك يستهلك طاقة ، مما يتسبب في حدوث تقلبات. قم بتوصيل الشاحن ، قم بإيقاف تشغيل الشاشة لبضع دقائق ، ثم تحقق من الحد الأقصى لتيار الشحن.
wait_title,انتظار
rfsh_rate,معدل التحديث
low_sizty,يؤدي خفض معدل التحديث إلى 60 هرتز إلى تحسين عمر البطارية.
drk_mode,الوضع الداكن
acti_dark_mode,قم بتنشيط الوضع الداكن ، في الوضع المظلم أقل استهلاكًا للطاقة
actz,تفعيل
poz,قوة
minz,الحد الأدنى
avgo,متوسط
mixi1,أقصى
msg_dis,تختفي الرسالة بعد 24 ساعة إذا كان هناك بيانات كافية لعرض الرسم التخطيطي بالكامل.
no_enough,لا توجد بيانات كافية لعرضها
log_graph,في غضون ساعات قليلة ، سترى رسمًا بيانيًا هنا يسمح لك بفحص درجة حرارة البطارية ، والجهد الكهربائي ، وقوة التيار ، والمستوى خلال الـ 24 ساعة الماضية.
week,أسبوع
buy_it,يشتري
one_pur,رسوم لمرة واحدة تبلغ
refun_pur,يمكن استرداد قيمة الشراء في غضون ساعتين.
each_month,يتجدد الاشتراك تلقائيًا كل شهر ويستمر تكلفته شهريًا. يمكن إلغاء الاشتراك في أي وقت.
mng_subs,إدارة الاشتراك
subsci,الإشتراك
will_cost_week,يتم تجديد الاشتراك تلقائيًا كل أسبوع وتستمر التكلفة في الأسبوع. يمكن إلغاء الاشتراك في أي وقت.
lfllong,مدى الحياة
mthly,شهريا
wkly,أسبوعي
hoto,حار
prm_ben_title,مزايا مميزة
sync_title,تزامن
dis_sync_inc,سيؤدي تعطيل المزامنة إلى زيادة عمر البطارية من خلال عدم مزامنة الخدمات في الخلفية
time_out,نفذ الوقت
dec_extend,يؤدي تقليل الوقت قبل إيقاف تشغيل الشاشة إلى إطالة عمر البطارية
u_end_opti,هل أنت متأكد أنك تريد إنهاء عملية التحسين؟
no_why_perm,لا يوجد إذن
bright_exp,يتطلب Battery Manager إذن تغيير إعدادات النظام لتقليل سطوع الشاشة أو إيقاف تشغيل Bluetooth.
tg_title,انضم إلى قناة Telegram!
tg_text,ابقَ على اطلاع بتحديثات التطبيق ، واحصل على إصدارات مبكرة ، وساعد في اختبار الميزات الجديدة. اقترح أفكارك واطرح الأسئلة واحصل على إجابات أسرع
join_tg,انضم
curr_consumption,الاستهلاك الحالي
scrn_onn,الشاشة مفتوحة
srcn_off,الشاشة مقفلة
mob_charg,الشحن
discha,التفريغ
activea,نشيط
slpmode,وضع السكون
chagingspeed,سرعة الشحن الحالية
dta_proxt,حماية البيانات
governs,تحكم سياسة الخصوصية هذه استخدامك لتطبيق برنامج Battery Manager للأجهزة المحمولة التي أنشأتها Baxolino.
info_u_provide,المعلومات المقدمة من قبل المستخدم
no_pass_per,نحن لا ننقل البيانات الشخصية إلى أطراف ثالثة. عندما تراسلنا عبر البريد الإلكتروني ، يكون لدينا عنوان بريدك الإلكتروني ، لكننا نستخدمه فقط لمساعدتك في تطبيقاتنا.
info_auto_coll,يتم جمع المعلومات تلقائيًا
exp_admob_use,نستخدم Google Admob لخدمة الإعلانات. يخضع استخدام هذه الخدمات لأحكام حماية بيانات Google الموجودة على https://www.google.com/policies/privacy/.
