title,Battery Manager Lite yakasiyana
extend_life,Nzira yakanakisa yekuwedzera hupenyu hwebhatiri uye kukuchengetedza hutano inobva pane ruzivo uye tsvakiridzo yesainzi.
measured,Nenzira yakajeka tinokuratidza chete iyo chaiyo yakayerwa data uye kuti inoverengerwa sei.
healthy,Chengetedza bhatiri rako rine hutano
double_battery,Kaviri hupenyu hwebhatiri rako nekusachaja bhatiri rako zvizere. Vesainzi vakaratidza izvi muongororo yavo.
charge_limit,Tichishandisa chiziviso chedu chekuchaja, chiziviso chinotumirwa kana bhatiri rasvika pachikumbaridzo chakatsanangurwa nemushandisi.
smart,Zvinowedzera kungwara zuva nezuva
analyze,Kurebesa kwaunoshandisa Battery Manager Lite, tinowana zviri nani pakuongorora mabatiro ebhatiri rako.
update_every_time,Iyo yasara kuyerwa kwehupenyu hwebhatiri inovandudzwa pese paunoshandisa kana kuchaja mudziyo wako.
runtime,Ziva iyo chaiyo yekumhanyisa nguva yebhatiri rako
discharge_cycle,Nguva imwe neimwe foni yako painotenderera kutenderera, fungidziro chaiyo yenguva yayo yekumhanya inogona kuyerwa.
accurate_life,Shandisa Battery Manager Lite kuyera hupenyu hwebhatiri hwakakwana.
no_exit,Usabude Battery Manager Lite!
bg_require,Bhatiri Maneja Lite inoda sevhisi yekumashure kuunganidza nhamba dzebhatiri uye kuyera bhatiri kuchaji uye nguva yekuburitsa. Chishandiso chako chinogona kunge chiri kumisa sevhisi kana kusachitendera kuti chishande kana app yakavharwa. Kuti udzivise izvi, isu tine mhinduro yakanaka kwauri. Ingobaya pane link.
man,Manual
cali,Calibration
polarity,Mune ino nhanho, iyo app inoona yekuchaja polarity uye dhizaini dhizaini yebhatiri rako.
disch,Discharge
ch_pol,Kuchaja polarity
power_meter,Power mita
unit_mesure,Chiyero chekuyera
capacity,Battery Capacity
wrong,Handizvo here?
calib,Calibrate
ye,Ehe
no,Aihwa
neg,Negative
pos,Positive
lunch,Tanga App
manufac,Kugona maererano nemugadziri
design_des,Iyo dhizaini dhizaini ndiyo chaiyo bhatiri huwandu, yakayerwa mumAh. Sezvo pasina nzira yepamutemo yekuona huwandu, kukosha kwakadzorerwa kunogona kunge kusina kunaka.
correct_it,Kana iyo yakaratidzwa chiyero isina kunaka, ndapota igadzirise.
cancel,Kanzura
ok,Zvakanaka
runtime,Battery Runtime
wait,kumirira
per_hr,Kushandiswa kwebhatiri paawa
life_for,Battery hupenyu hwe
battery_cond,Battery mamiriro
bat_info,Battery ruzivo
bat_cap,Battery simba
bat_volt,Battery voltage
bat_cur,Bhatiri ikozvino
unit_mes,Chiyero chekuyera
done,Ndapedza
c_bat_temp,Current Battery Temperature
min_bat_tem,Minimum Battery tembiricha
mx_bat_tem,Maximum bhatiri tembiricha
avg_bat_tem,Avhareji yekushisa kwebhatiri
dig_last,Kuongororwa kwekupedzisira zvisati zvaitika
rem_time,Nguva yasara
volt,Voltage
curr,Current
status,Status
run_time,Nguva yekumhanya
currently,Parizvino
avg,Avhareji
minmal,Minimal
maximal,Maximum
tool,Zvishandiso
rem_apps,Uninstall maapplication ausingachashandise kudzivirira maapplication kuti asashande zvisina basa uye kudhiza bhatiri rako
uninst_apps,Uninstall Apps
stat,Tanga
act_eng_save,Shandisa simba rekuchengetedza simba kuderedza kushandiswa kwebhatiri
pow_save,Power saving mode
tempe,Tembiricha
heal,Utano
tips,Chengetedza Bhatiri rako riri mumamiriro akanaka nemazano uye mazano.
recomm,Recommendations
prem,Premium
more_func,Mamwe mabasa ako. Tora premium, wana zvimwe.
more,Zvimwe
ur_cond_bat,Mamiriro ebhatiri ari
ur_bat_life,Hupenyu hwebhatiri rako
ur_bat_temp,Battery Temperature yako ndiyo
wow,Excellent
normal,Normal
poor,Zvakaipa
days,Mazuva
mins,Maminitsi
hrs,Maawa
chging,Kuchaja
ful,Full
dis_chrg,Discharging
unkn,Unknown
too_lit,Yakanyanya shoma Battery Data
car_any,Edza zvakadaro
endz_,End
dig_any,Kuti uwane zvirinani mhedzisiro yekuongorora, iyo app inoda kuongorora bhatiri rako kumashure. Ndapota tanga kuongororwa mushure memaawa makumi maviri nemana
end_dig,Kugumisa kuongororwa
quit_dig,Chokwadi Rega Diagnosis
batty_temp,Kupisa kwebhatiri
akku_manager,Akku Manager
u_agree,Ne "START" unobvumirana nemirairo yekudzivirira data
elemn_opti,Zvinhu zvinogona kugadziriswa
looks_good,Zvese zvinotaridzika zvakanaka
optimize_,Optimize
toolz_,Zvishandiso
akku_check,Akku Check
ctrl_load,Controlled loading
mng_apps,Manage apps
infosm,Information
tenzion,kunetsana
electy,magetsi
lvl,Level
akku_man_premium,Akku Manager Premium
premimum_highlight,Shandisa Bhatiri Maneja zvachose pasina kushambadza uye iwe unokwanisa kuwana iyo yakakura magadzirirwo emushandisi interface.
design,Design
subjs,zvidzidzo
genrally,Kazhinji
temp_unit,Tembiricha unit
oth_apps,Mamwe Mapurogiramu
dat_protect,Dziviriro yedata
thx_akku,Ndatenda nekutsigira Akku Manager nekutenga kweiyo premium vhezheni.
user_got_pre,Iwe zvino unokwanisa kuwana yakawedzera kugadzirisa kweiyo mushandisi interface uye kushandiswa pasina kushambadza.
exp_more,Unogona kutarisira mamwe maficha mune ramangwana rekuvandudza
ap_optimiz,App optimization
