title,باتارېيە باشقۇرغۇچى Lite ئوخشىمايدۇ
extend_life,باتارېيەنىڭ ئۆمرىنى ئۇزارتىش ۋە ساغلاملىقنى ساقلاشنىڭ ئەڭ ياخشى ئۇسۇلى تەجرىبە ۋە ئىلمىي تەتقىقاتنى ئاساس قىلىدۇ.
measured,سۈزۈك ئۇسۇلدا بىز پەقەت ھەقىقىي ئۆلچەملىك سانلىق مەلۇماتلارنى ۋە ئۇنىڭ قانداق ھېسابلىنىدىغانلىقىنى كۆرسىتىمىز.
healthy,باتارېيەڭىزنى ساغلام ساقلاڭ
double_battery,باتارېيەڭىزنى تولۇق توك قاچىلىماسلىق ئارقىلىق باتارېيەنىڭ ئۆمرىنى بىر ھەسسە ئاشۇرۇڭ. ئالىملار بۇنى تەتقىقاتىدا ئىسپاتلىدى.
charge_limit,ھەق ئېلىش ئۇقتۇرۇشىمىزنى ئىشلىتىپ ، باتارېيە ئىشلەتكۈچى بەلگىلىگەن چەككە يەتكەندە ئۇقتۇرۇش ئەۋەتىلىدۇ.
smart,ئۇ ھەر كۈنى تېخىمۇ ئەقىللىق بولىدۇ
analyze,باتارېيە باشقۇرغۇچى Lite نى قانچە ئۇزۇن ئىشلەتسىڭىز ، باتارېيەڭىزنىڭ ئىقتىدارىنى تەھلىل قىلىشقا شۇنچە ياخشى ئېرىشىمىز.
update_every_time,قالغان باتارېيەنىڭ ئۆمرىنى ئۆلچەش ھەر قېتىم ئۈسكۈنىڭىزنى ئىشلەتكەندە ياكى توك قاچىلىغاندا يېڭىلىنىدۇ.
runtime,باتارېيەڭىزنىڭ ئەمەلىي ئىجرا ۋاقتىنى بايقايسىز
discharge_cycle,ھەر قېتىم تېلېفونىڭىز قويۇپ بېرىش دەۋرىنى باشتىن كەچۈرگەندە ، ئۇنىڭ ئىجرا ۋاقتىنى توغرا مۆلچەرلىگىلى بولىدۇ.
accurate_life,باتارېيە باشقۇرغۇچى Lite نى ئىشلىتىپ باتارېيەنىڭ ئۆمرىنى ئۆلچەڭ.
no_exit,باتارېيە باشقۇرغۇچى Lite دىن چىقماڭ!
bg_require,باتارېيە باشقۇرغۇچى Lite باتارېيە ستاتىستىكىسىنى يىغىش ۋە باتارېيەنىڭ توك قاچىلاش ۋە قويۇپ بېرىش ۋاقتىنى ئۆلچەش ئۈچۈن ئارقا مۇلازىمەت تەلەپ قىلىدۇ. ئۈسكۈنىڭىز مۇلازىمەتنى توختىتىشى ياكى ئەپ تاقالغاندا ئىجرا بولۇشىغا يول قويماسلىقى مۇمكىن. بۇنىڭدىن ساقلىنىش ئۈچۈن ، بىز ئۈچۈن ياخشى ھەل قىلىش چارىسى بار. ئۇلانمىنى چېكىڭ.
man,Manual
cali,Calibration
polarity,بۇ باسقۇچتا ، بۇ دېتال توك قاچىلاش قۇتۇپى ۋە باتارېيەڭىزنىڭ لايىھىلەش ئىقتىدارىنى بايقىيالايدۇ.
disch,بىكار قىلىش
ch_pol,قۇتۇپقا توك قاچىلاش
power_meter,توك سائىتى
unit_mesure,ئۆلچەش بىرلىكى
capacity,باتارېيە سىغىمى
wrong,توغرا ئەمەسمۇ؟
calib,Calibrate
ye,ھەئە
no,ياق
neg,سەلبىي
pos,ئاكتىپ
lunch,ئەپنى قوزغىتىش
manufac,ئىشلەپچىقارغۇچىنىڭ ئىقتىدارى
design_des,لايىھىلەش سىغىمى ئەمەلىي باتارېيە سىغىمى بولۇپ ، mAh بىلەن ئۆلچىنىدۇ. سىغىمىنى بەلگىلەيدىغان رەسمىي ئۇسۇل بولمىغاچقا ، قايتۇرۇلغان قىممەت خاتا بولۇشى مۇمكىن.
correct_it,كۆرسىتىلگەن سىغىمى توغرا بولمىسا ئۇنى تۈزىتىڭ.
cancel,بىكار قىلىش
ok,ماقۇل
runtime,باتارېيە ئىجرا ۋاقتى
wait,ساقلاش
per_hr,سائىتىگە باتارېيە سەرپىياتى
life_for,باتارېيەنىڭ ئۆمرى
battery_cond,باتارېيە ھالىتى
bat_info,باتارېيە ئۇچۇرى
bat_cap,باتارېيە سىغىمى
bat_volt,باتارېيە بېسىمى
bat_cur,باتارېيە ئېقىمى
unit_mes,ئۆلچەش بىرلىكى
done,تامام
c_bat_temp,ھازىرقى باتارېيە تېمپېراتۇرىسى
