title,Battery Manager Lite diferan
extend_life,Pi bon fason pou pwolonje lavi batri a epi kenbe ou an sante baze sou eksperyans ak rechèch syantifik.
measured,Nan yon fason transparan nou sèlman montre w done yo aktyèlman mezire ak ki jan yo kalkile.
healthy,Kenbe batri ou an sante
double_battery,Double lavi batri ou pa chaje batri ou nèt. Syantis yo te pwouve sa nan rechèch yo.
charge_limit,Sèvi ak notifikasyon limit chaj nou an, yo pral voye yon notifikasyon lè batri a rive nan yon papòt itilizatè defini.
smart,Li vin pi entelijan chak jou
analyze,Plis ou itilize Battery Manager Lite, se pi bon n ap analize pèfòmans batri ou a.
update_every_time,Mezi rès lavi batri a mete ajou chak fwa ou itilize oswa chaje aparèy ou an.
runtime,Dekouvri tan aktyèl la nan batri ou a
discharge_cycle,Chak fwa telefòn ou ale nan yon sik egzeyat, yo ka mezire yon estimasyon egzat sou exécution li.
accurate_life,Sèvi ak Battery Manager Lite pou mezire lavi batri egzat.
no_exit,Pa soti Battery Manager Lite!
bg_require,Battery Manager Lite mande pou yon sèvis background pou kolekte estatistik batri ak mezire chaj batri ak tan dechaj. Aparèy ou a gen anpil chans sispann sèvis la oswa pa pèmèt li kouri lè aplikasyon an fèmen. Pou evite sa, nou gen yon bon solisyon pou ou. Jis klike sou lyen an.
man,Manyèl
cali,Kalibrasyon
polarity,Nan etap sa a, aplikasyon an detekte polarite chaj la ak kapasite konsepsyon batri ou a.
disch,Egzeyat
ch_pol,Chaje polarite
power_meter,Pouvwa mèt
unit_mesure,Inite mezi
capacity,Kapasite batri
wrong,Pa dwat?
calib,Kalite
ye,Wi
no,Non
neg,Negatif
pos,Pozitif
lunch,Lanse App
manufac,Kapasite selon manifakti a
design_des,Kapasite konsepsyon an se kapasite batri aktyèl la, mezire an mAh. Kòm pa gen okenn fason ofisyèl yo detèmine kapasite a, valè a retounen ka mal.
correct_it,Si kapasite ki parèt la pa kòrèk, tanpri korije li.
cancel,Anile
ok,Oke
runtime,Batri ègzekutabl
wait,ap tann
per_hr,Konsomasyon batri pou chak èdtan
life_for,Lavi batri pou
battery_cond,Kondisyon batri
bat_info,Enfòmasyon sou batri
bat_cap,Kapasite batri
bat_volt,Batri vòltaj
bat_cur,Aktyèl batri
unit_mes,Inite mezi
done,Fè
c_bat_temp,Tanperati batri aktyèl la
min_bat_tem,Tanperati minimòm batri
mx_bat_tem,Tanperati maksimòm batri
avg_bat_tem,Tanperati batri mwayèn
dig_last,Dènye dyagnostik anvan
rem_time,Tan ki rete
volt,Voltage
curr,Kouran
status,Estati
run_time,Kouri tan
currently,Kounye a
avg,Mwayèn
minmal,Minimòm
maximal,Maksimòm
tool,Zouti
rem_apps,Dezenstale aplikasyon ou pa itilize ankò pou anpeche aplikasyon yo kouri san nesesite epi vide batri ou
uninst_apps,Désinstaller Apps
stat,Kòmanse
act_eng_save,Aktive mòd ekonomize enèji pou redwi konsomasyon batri
pow_save,Mòd ekonomize pouvwa
tempe,Tanperati
heal,Sante
tips,Kenbe batri ou an bon kondisyon ak konsèy ak ke trik nouvèl.
recomm,Rekòmandasyon
prem,Premium
more_func,Plis fonksyon pou ou. Jwenn prim, jwenn plis.
more,Plis
ur_cond_bat,Kondisyon batri a se
ur_bat_life,Lavi batri ou se
ur_bat_temp,Tanperati batri ou se
wow,Ekselan
normal,Nòmal
poor,Mal
days,Jou
mins,Minit
hrs,Orè
chging,Chaje
ful,Plen
dis_chrg,Dechaje
unkn,Enkoni
too_lit,Twòp Done Batri
car_any,Fè de tout fason
endz_,Fen
dig_any,Yo nan lòd yo jwenn pi bon rezilta dyagnostik, aplikasyon an bezwen analize batri ou nan background nan. Tanpri kòmanse dyagnostik la apre 24 èdtan
end_dig,Fen dyagnostik
quit_dig,Vrèman kite dyagnostik
batty_temp,Tanperati batri
akku_manager,Akku Manadjè
u_agree,Avèk "START" ou dakò ak règleman sou pwoteksyon done yo
elemn_opti,Eleman yo ka optimize
looks_good,Tout sanble bon
optimize_,Optimize
toolz_,Zouti
akku_check,Akku tcheke
ctrl_load,Kontwole chajman
mng_apps,Jere apps
infosm,Enfòmasyon
tenzion,tansyon
electy,elektrisite
lvl,Nivo
akku_man_premium,Akku Manadjè Premium
premimum_highlight,Sèvi ak Manadjè batri a konplètman san yo pa fè piblisite epi ou gen aksè a personnalisation vaste nan koòdone itilizatè a.
design,Design
subjs,matyè yo
genrally,Anjeneral
temp_unit,Inite tanperati
oth_apps,Lòt Aplikasyon
dat_protect,Pwoteksyon done
thx_akku,Mèsi paske w sipòte Akku Manager ak achte vèsyon prim lan.
