title,Battery Manager Lite นั้นแตกต่างออกไป
extend_life,วิธีที่ดีที่สุดในการยืดอายุแบตเตอรี่และรักษาสุขภาพให้แข็งแรงขึ้นอยู่กับประสบการณ์และการวิจัยทางวิทยาศาสตร์
measured,ด้วยความโปร่งใส เราจะแสดงให้คุณเห็นเฉพาะข้อมูลที่วัดได้จริงและวิธีการคำนวณเท่านั้น
healthy,รักษาสุขภาพแบตเตอรี่ของคุณ
double_battery,ยืดอายุแบตเตอรี่ของคุณเป็นสองเท่าโดยการชาร์จแบตเตอรี่ไม่เต็ม นักวิทยาศาสตร์ได้พิสูจน์สิ่งนี้ในงานวิจัยของพวกเขา
charge_limit,การใช้การแจ้งเตือนขีดจำกัดการชาร์จของเรา การแจ้งเตือนจะถูกส่งเมื่อแบตเตอรี่ถึงเกณฑ์ที่ผู้ใช้กำหนด
smart,มันฉลาดขึ้นทุกวัน
analyze,ยิ่งคุณใช้ Battery Manager Lite นานเท่าไหร่ เราก็ยิ่งวิเคราะห์ประสิทธิภาพของแบตเตอรี่ได้ดีขึ้นเท่านั้น
update_every_time,การวัดอายุการใช้งานแบตเตอรี่ที่เหลืออยู่จะอัปเดตทุกครั้งที่คุณใช้หรือชาร์จอุปกรณ์
runtime,ค้นพบเวลาใช้งานจริงของแบตเตอรี่ของคุณ
discharge_cycle,แต่ละครั้งที่โทรศัพท์ของคุณเข้าสู่รอบการคายประจุ คุณสามารถวัดเวลารันไทม์โดยประมาณที่แม่นยำได้
accurate_life,ใช้ Battery Manager Lite เพื่อวัดอายุการใช้งานแบตเตอรี่ที่แม่นยำ
no_exit,อย่าออกจาก Battery Manager Lite!
bg_require,Battery Manager Lite ต้องใช้บริการพื้นหลังเพื่อรวบรวมสถิติแบตเตอรี่และวัดการชาร์จแบตเตอรี่และเวลาคายประจุ อุปกรณ์ของคุณมีแนวโน้มที่จะหยุดให้บริการหรือไม่ยอมให้ทำงานเมื่อปิดแอป เพื่อหลีกเลี่ยงปัญหานี้ เรามีทางออกที่ดีสำหรับคุณ เพียงคลิกที่ลิงค์
man,คู่มือ
cali,การสอบเทียบ
polarity,ในขั้นตอนนี้ แอปจะตรวจจับขั้วการชาร์จและความจุการออกแบบของแบตเตอรี่ของคุณ
disch,ปล่อย
ch_pol,ขั้วชาร์จ
power_meter,เครื่องวัดพลังงาน
unit_mesure,หน่วยวัด
capacity,ความจุของแบตเตอรี่
wrong,ไม่ถูก?
calib,ปรับเทียบ
ye,ใช่
no,ไม่
neg,เชิงลบ
pos,เชิงบวก
lunch,เปิดแอป
manufac,ความจุตามผู้ผลิต
design_des,ความจุที่ออกแบบคือความจุของแบตเตอรี่จริง โดยมีหน่วยเป็น mAh เนื่องจากไม่มีวิธีอย่างเป็นทางการในการกำหนดความจุ ค่าที่ส่งคืนจึงอาจผิดพลาดได้
correct_it,หากความจุที่แสดงไม่ถูกต้อง โปรดแก้ไข
cancel,ยกเลิก
ok,ตกลง
runtime,เวลาใช้งานแบตเตอรี่
wait,การรอคอย
per_hr,ปริมาณการใช้แบตเตอรี่ต่อชั่วโมง
life_for,อายุแบตเตอรี่สำหรับ
battery_cond,สภาพแบตเตอรี่
bat_info,ข้อมูลแบตเตอรี่
bat_cap,ความจุของแบตเตอรี่
bat_volt,แรงดันแบตเตอรี่
bat_cur,กระแสแบตเตอรี่
unit_mes,หน่วยวัด
done,เสร็จแล้ว
c_bat_temp,อุณหภูมิแบตเตอรี่ปัจจุบัน
min_bat_tem,อุณหภูมิต่ำสุดของแบตเตอรี่
mx_bat_tem,อุณหภูมิแบตเตอรี่สูงสุด
avg_bat_tem,อุณหภูมิเฉลี่ยของแบตเตอรี่
dig_last,การวินิจฉัยครั้งสุดท้ายก่อน
rem_time,เวลาที่เหลือ
volt,แรงดันไฟฟ้า
curr,หมุนเวียน
status,สถานะ
run_time,เวลาทำงาน
currently,ปัจจุบัน
avg,เฉลี่ย
minmal,น้อยที่สุด
maximal,ขีดสุด
tool,เครื่องมือ
rem_apps,ถอนการติดตั้งแอปที่คุณไม่ได้ใช้แล้วเพื่อป้องกันไม่ให้แอปทำงานโดยไม่จำเป็นและทำให้แบตเตอรี่หมด
uninst_apps,ถอนการติดตั้งแอพ
stat,เริ่ม
act_eng_save,เปิดใช้งานโหมดประหยัดพลังงานเพื่อลดการใช้แบตเตอรี่
pow_save,โหมดประหยัดพลังงาน
tempe,อุณหภูมิ
heal,สุขภาพ
tips,รักษาแบตเตอรี่ของคุณให้อยู่ในสภาพดีด้วยเคล็ดลับและคำแนะนำ
recomm,คำแนะนำ
prem,พรีเมี่ยม
more_func,ฟังก์ชั่นเพิ่มเติมสำหรับคุณ รับของพรีเมี่ยม รับมากกว่า
more,มากกว่า
ur_cond_bat,สภาพแบตเตอรี่คือ
ur_bat_life,อายุการใช้งานแบตเตอรี่ของคุณคือ
ur_bat_temp,อุณหภูมิแบตเตอรี่ของคุณคือ
wow,ยอดเยี่ยม
normal,ปกติ
poor,ไม่ดี
days,วัน
mins,นาที
hrs,ชั่วโมง
chging,กำลังชาร์จ
ful,เต็ม
dis_chrg,ปล่อย
unkn,ไม่ทราบ
too_lit,ข้อมูลแบตเตอรี่น้อยเกินไป
car_any,ดำเนินการต่อไป
endz_,จบ
dig_any,เพื่อให้ได้ผลการวินิจฉัยที่ดีขึ้น แอปจำเป็นต้องวิเคราะห์แบตเตอรี่ของคุณในเบื้องหลัง โปรดเริ่มการวินิจฉัยหลังจาก 24 ชั่วโมง
end_dig,จบการวินิจฉัย
quit_dig,ออกจากการวินิจฉัยจริงๆ
batty_temp,อุณหภูมิของแบตเตอรี่
akku_manager,แอคคุผู้จัดการ
u_agree,ด้วย "START" แสดงว่าคุณยอมรับกฎข้อบังคับในการคุ้มครองข้อมูล
elemn_opti,สามารถปรับองค์ประกอบให้เหมาะสมได้
looks_good,ทุกอย่างดูดี
optimize_,เพิ่มประสิทธิภาพ
toolz_,เครื่องมือ
akku_check,อัคคุเช็ค
ctrl_load,ควบคุมการโหลด
mng_apps,จัดการแอพ
infosm,ข้อมูล
tenzion,ความเครียด
electy,ไฟฟ้า
lvl,ระดับ
akku_man_premium,Akku ผู้จัดการพรีเมี่ยม
premimum_highlight,ใช้ตัวจัดการแบตเตอรี่อย่างสมบูรณ์โดยไม่ต้องโฆษณา และคุณสามารถเข้าถึงการปรับแต่งส่วนติดต่อผู้ใช้ได้อย่างกว้างขวาง
design,ออกแบบ
subjs,วิชา
genrally,โดยทั่วไป
temp_unit,หน่วยอุณหภูมิ
oth_apps,แอพอื่นๆ
dat_protect,การป้องกันข้อมูล
thx_akku,ขอขอบคุณที่สนับสนุน Akku Manager ด้วยการซื้อเวอร์ชันพรีเมียม
user_got_pre,ตอนนี้คุณสามารถเข้าถึงการปรับแต่งส่วนต่อประสานผู้ใช้และการใช้งานที่กว้างขวางโดยไม่ต้องโฆษณา
exp_more,คุณสามารถคาดหวังฟีเจอร์เพิ่มเติมได้ในการอัปเดตในอนาคต
ap_optimiz,การเพิ่มประสิทธิภาพแอป
sys_bat_usage,การใช้แบตเตอรี่ของระบบ
bat_usage_det,รายละเอียดการใช้แบตเตอรี่
end_optiz,สิ้นสุดการเพิ่มประสิทธิภาพ
abort,ยกเลิก
break_up,เลิกกัน
scn,เพื่อสแกน
scn_bgh,ความสว่างของหน้าจอ
dact_wlan,ปิดใช้งาน WLAN
dact_save_batt,ปิดใช้งานเพื่อประหยัดแบตเตอรี่
dact,ปิดการใช้งาน
dact_ble,ปิดใช้งานบลูทูธ
red_brigh,ลดความสว่าง
bright_txt,ลดความสว่างของจอแสดงผลเพื่อประหยัดแบตเตอรี่
to_reduce,เพื่อลด
dact_gps,ปิดใช้งาน GPS
appz_optimz,แอพได้รับการปรับให้เหมาะสม
start_bat_check_det,เริ่มการตรวจสอบแบตเตอรี่โดยละเอียดเพื่อให้อยู่ในด้านที่ปลอดภัยเสมอ
act_eng_save,เปิดใช้งานโหมดประหยัดพลังงานเพื่อลดการใช้แบตเตอรี่
remove_useless,ถอนการติดตั้งแอพที่ไม่ใช้แล้ว
premium,พรีเมี่ยม
clear_mem,ทำความสะอาดหน่วยความจำ
clear_mem_des,เพื่อให้สมาร์ทโฟนของคุณทำงานได้อย่างรวดเร็วและราบรื่น
clenaup,ทำความสะอาด
rat,คะแนน
rat_free,ให้คะแนนตัวจัดการแบตเตอรี่ฟรี
sendz,ส่ง
elmn_found,พบองค์ประกอบ
drumz,กลอง
status,สถานะ
end_akk_check,สิ้นสุดการตรวจสอบแบตเตอรี่
bat_detlz,รายละเอียดแบตเตอรี่
temp_checked,มีการตรวจสอบอุณหภูมิ
cond_checked,มีการตรวจสอบสภาพของแบตเตอรี่
checkz_start,การตรวจสอบแบตเตอรี่เริ่มต้นขึ้น
plug_in,เสียบปลั๊ก
techz,เทคโนโลยี
coldz,เย็น
until,จนกระทั่ง
well,ดี
ovr_heat,ความร้อนสูงเกินไป
ovr_load,โอเวอร์โหลด
renam,เปลี่ยนชื่อ
not_def,ไม่ได้กำหนดไว้
chrgz,ค่าใช้จ่าย
full,เต็ม
unloadz,ขนถ่าย
not_charge_unkn,ไม่ถูกเรียกเก็บเงินหรือไม่ทราบ
usb,ยูเอสบี
charger,เครื่องชาร์จ
wless,ไร้สาย
not_at_al,ไม่มีไรเลย
uninstall,ถอนการติดตั้ง
update,เพื่ออัพเดท
setting,การตั้งค่า
app,แอพ
not_found,ไม่พบแอป
search,ค้นหาแอพ
version_code,รหัสเวอร์ชัน
api_level,ระดับ API
app_version,เวอร์ชันแอป
authorization,การอนุญาต
open,เพื่อเปิด
play_store,ร้านขายของเล่น
control,ควบคุม
systemstandart,มาตรฐานระบบ
white,สีขาว
dark,มืด
ocean,มหาสมุทร
black,สีดำ
dark_blue,น้ำเงิน
excellent,ยอดเยี่ยม
bad,แย่
battery_bad,แบตเตอรี่เสียหายเล็กน้อย
very_bad,ที่เลวร้ายมาก
battery_damaged,แบตเตอรี่เสียหาย
custom_mode,โหมดกำหนดเอง
brightness,ความสว่าง
automatic_brightness,ความสว่างอัตโนมัติ
normal,ปกติ
sound_modus,โหมดเสียง
tone_work,โทนเสียงทั้งหมดทำงาน
mute,ปิดเสียง
call_note_mute,ปิดเสียงการโทรและการแจ้งเตือน
not_bother,อย่าลำบากเลย
tones_vibration_mute,ปิดเสียงและการสั่น ยกเว้นเสียงปลุก
sound,เสียง
music,ดนตรี
notification,การแจ้งเตือน
alarm,เตือน
ultra_saving,โหมดประหยัดพลังงานพิเศษ
edit,หากต้องการแก้ไข
disable_ultra_saving,ปิดใช้งานโหมดประหยัดพลังงานพิเศษ
min_remaining,เหลือนาที
hours,ชั่วโมง
activted_ultra_saving,เปิดใช้งานโหมดประหยัดพลังงานพิเศษ
charged_in,เรียกเก็บใน
min,นาที
limit_power,จำกัด การใช้พลังงาน
reduce_screen,ลดความสว่างของหน้าจอ
restrict_bg_act_explain,จำกัด กิจกรรมพื้นหลัง
volatge_check,มีการตรวจสอบแรงดันไฟฟ้า
software_optimized,ซอฟต์แวร์ได้รับการปรับให้เหมาะสม
connect_charger,เชื่อมต่อเครื่องชาร์จ
charger_removed,สามารถถอดสายชาร์จออกได้
power_consump_title,การใช้พลังงาน
srcn_bg_title,ความสว่างของหน้าจอ
bg_al_activities,กิจกรรมเบื้องหลัง
sftware,ซอฟต์แวร์
get_primium,หากคุณซื้อรุ่นพรีเมี่ยม คุณจะได้รับฟังก์ชั่นปัจจุบันทั้งหมดรวมถึงฟังก์ชั่นใหม่ทั้งหมดในอนาคต
cuztomize_face,การปรับแต่งส่วนติดต่อผู้ใช้
comp_scheme,สร้างชุดสีตัวจัดการแบตเตอรี่จากธีมต่างๆ
bat_check_detail,ตรวจสอบแบตเตอรี่โดยละเอียด
check_cond_test,ใช้ตัวจัดการแบตเตอรี่เพื่อตรวจสอบสภาพแบตเตอรี่ของคุณให้อยู่ในที่ปลอดภัยเสมอ
no_ads_yo,ไม่มีโฆษณา
use_explain_noads,ใช้ตัวจัดการแบตเตอรี่โดยไม่มีโฆษณา
act_energy_save,เปิดใช้งานโหมดประหยัดพลังงานพิเศษเพื่อเพิ่มอายุการใช้งานแบตเตอรี่ในกรณีฉุกเฉิน
buy_title,ซื้อพรีเมี่ยม
loc_title,ที่ตั้ง
cap_title,ความจุ
cap_remain,ความจุที่เหลืออยู่
sleepy,การนอนหลับ
sek,วินาที
sing_min,นาที
miniotes,นาที
finish,ที่เสร็จเรียบร้อย
mobi_data,ข้อมูลมือถือ
plz_rate,โปรดให้คะแนนตัวจัดการแบตเตอรี่ใน Play Store
ur_data_cus,เราสามารถใช้ข้อมูลของคุณต่อไปเพื่อปรับแต่งโฆษณาสำหรับคุณได้หรือไม่?
in_slep_mode,ในโหมดสลีป
in_use,ในการใช้งาน
with_curr_pow,ด้วยการใช้พลังงานในปัจจุบัน
rem_bat_life,อายุการใช้งานแบตเตอรี่ที่เหลืออยู่
qck_acc,เข้าถึงด่วน
notif_txt,การแจ้งเตือน
notif_at,แจ้งได้ที่
chg_curr,กระแสไฟชาร์จ
charge_perm,ประสิทธิภาพการชาร์จ
maxi_charge_per,ประสิทธิภาพการชาร์จสูงสุด
enb_notif,เปิดใช้งานการแจ้งเตือน
perm_send_notif,ตัวจัดการแบตเตอรี่จำเป็นต้องได้รับสิทธิ์ในการส่งการแจ้งเตือน ซึ่งจะต้องเปิดใช้งานในการตั้งค่าของอุปกรณ์
to_set,ไปที่การตั้งค่า
title_autost,เปิดใช้งานการเริ่มอัตโนมัติ
auto_explain,ตัวจัดการแบตเตอรี่จำเป็นต้องได้รับอนุญาตให้เปิดใช้งานในพื้นหลังเพื่อสอบถามสถานะแบตเตอรี่และส่งการแจ้งเตือน
sync_auto,ซิงโครไนซ์โดยอัตโนมัติ
dis_auto_sync,การปิดใช้งานการซิงโครไนซ์อัตโนมัติจะช่วยลดการล็อกเวคล็อกได้อย่างมาก อย่างไรก็ตาม ฟังก์ชันบางอย่าง เช่น การรับอีเมลจะหายไป
chg_lim,ขีดจำกัดการชาร์จ
avoid_ful_explain,หากคุณชาร์จแบตเตอรี่จนเต็มหรือคายประจุจนแบตเตอรี่ดับลง สภาพและอายุการใช้งานของแบตเตอรี่จะลดลง ต่อไปนี้ คุณสามารถตั้งค่าสถานะการชาร์จหรือการคายประจุต่ำสุดและสูงสุดของแบตเตอรี่ได้ และคุณจะได้รับการแจ้งเตือนทุกครั้งที่ถึงค่าเกณฑ์ หลีกเลี่ยงการชาร์จและคายประจุแบตเตอรี่จนเต็มและยืดอายุของแบตเตอรี่
rec_notif,ไม่ได้รับการแจ้งเตือน?
title_allow_bg_act,อนุญาตกิจกรรมพื้นหลัง
allow_bg_act,เพื่อให้คุณสามารถใช้ตัวจัดการแบตเตอรี่ได้โดยไม่มีข้อจำกัด โดยที่ระบบปฏิบัติการไม่ได้ปิดโดยไม่ได้ตั้งใจ คุณอาจต้องปิดฟังก์ชันพิเศษสำหรับการจัดการแบตเตอรี่และการใช้แบตเตอรี่ในการตั้งค่า เนื่องจากผู้ผลิตหลายรายกำหนดตัวเลือกเหล่านี้แตกต่างกันขึ้นอยู่กับระบบปฏิบัติการที่ใช้ ในพื้นที่ข้อมูลแอป ภายใต้โหมดสลีปหรือแบตเตอรี่ เลือกไม่มีข้อจำกัดหรืออนุญาตกิจกรรมเบื้องหลัง
dev_usage,การใช้งานอุปกรณ์
dep_sleep,ดีปสลีปคือสถานะที่อุปกรณ์ของคุณใช้แบตเตอรี่น้อยที่สุด ระยะเวลาของการนอนหลับลึกส่งผลดีต่อการประหยัดพลังงาน การนอนหลับลึกอาจถูกขัดจังหวะโดยงานเบื้องหลัง ซึ่งทำให้แบตเตอรี่หมดเร็วขึ้น ในกรณีนี้ ให้รีสตาร์ทอุปกรณ์ของคุณ
title_bat_temp,อุณหภูมิของแบตเตอรี่
bat_tempp,อุณหภูมิของแบตเตอรี่เป็นหนึ่งในปัจจัยที่สำคัญที่สุด หากเก็บแบตเตอรี่เจลไว้ที่อุณหภูมิสูง จะส่งผลต่อทั้งอายุการใช้งานและประสิทธิภาพของแบตเตอรี่ หากอุณหภูมิสูงขึ้น โครงสร้างภายในของแบตเตอรี่อาจเสียหายได้
rdc_brightness,ลดความสว่างของหน้าจอ
display_explain,จอแสดงผลเป็นหนึ่งในส่วนประกอบที่ใช้พลังงานส่วนใหญ่ การลดความสว่างสูงสุดช่วยลดการใช้โดยรวมและประหยัดได้อย่างเห็นได้ชัด ก่อนลดความสว่าง ให้ปิดใช้งานความสว่างอัตโนมัติ เพื่อไม่ให้ความสว่างเปลี่ยนแปลงโดยไม่จำเป็น
tst_charge,ทดสอบเครื่องชาร์จ
best_way_test,วิธีที่ดีที่สุดในการทดสอบที่ชาร์จและสายเคเบิลคือการตรวจสอบความเร็วในการชาร์จโดยปิดหน้าจอ ความเร็วในการชาร์จเมื่อเปิดหน้าจอไม่ใช่เกณฑ์มาตรฐานที่ดี เนื่องจากโทรศัพท์ของคุณใช้พลังงาน ซึ่งทำให้เกิดความผันผวน เสียบอุปกรณ์ชาร์จ ปิดหน้าจอสักครู่ จากนั้นตรวจสอบกระแสไฟชาร์จสูงสุด
wait_title,การรอคอย
rfsh_rate,อัตราการรีเฟรช
low_sizty,การลดอัตราการรีเฟรชเป็น 60 Hz จะช่วยยืดอายุแบตเตอรี่
drk_mode,โหมดมืด
acti_dark_mode,เปิดใช้งานโหมดมืด ในโหมดมืดจะใช้พลังงานน้อยลง
actz,เปิดใช้งาน
poz,พลัง
minz,ขั้นต่ำ
avgo,เฉลี่ย
mixi1,ขีดสุด
msg_dis,ข้อความจะหายไปหลังจาก 24 ชั่วโมง หากมีข้อมูลเพียงพอที่จะแสดงไดอะแกรมทั้งหมด
no_enough,ข้อมูลไม่เพียงพอที่จะแสดง
log_graph,ในอีกไม่กี่ชั่วโมงคุณจะเห็นกราฟที่นี่ซึ่งจะช่วยให้คุณตรวจสอบอุณหภูมิของแบตเตอรี่ แรงดันไฟฟ้า แอมแปร์ และระดับในช่วง 24 ชั่วโมงที่ผ่านมา
week,สัปดาห์
buy_it,ซื้อ
one_pur,ค่าธรรมเนียมครั้งเดียวของ
refun_pur,สามารถขอคืนเงินได้ภายใน 2 ชั่วโมง
each_month,การสมัครสมาชิกต่ออายุอัตโนมัติในแต่ละเดือนและยังคงมีค่าใช้จ่ายต่อเดือน สามารถยกเลิกการสมัครสมาชิกได้ตลอดเวลา
mng_subs,จัดการการสมัครสมาชิก
subsci,ติดตาม
will_cost_week,การสมัครสมาชิกต่ออายุอัตโนมัติในแต่ละสัปดาห์และยังคงมีค่าใช้จ่ายต่อสัปดาห์ สามารถยกเลิกการสมัครสมาชิกได้ตลอดเวลา
lfllong,ตลอดชีวิต
mthly,รายเดือน
wkly,รายสัปดาห์
hoto,ร้อน
prm_ben_title,สิทธิประโยชน์ระดับพรีเมียม
