title,ബാറ്ററി മാനേജർ ലൈറ്റ് വ്യത്യസ്തമാണ്
extend_life,ബാറ്ററിയുടെ ആയുസ്സ് വർദ്ധിപ്പിക്കാനും നിങ്ങളെ ആരോഗ്യത്തോടെ നിലനിർത്താനുമുള്ള ഏറ്റവും നല്ല മാർഗം അനുഭവത്തെയും ശാസ്ത്രീയ ഗവേഷണത്തെയും അടിസ്ഥാനമാക്കിയുള്ളതാണ്.
measured,സുതാര്യമായ രീതിയിൽ, യഥാർത്ഥത്തിൽ അളന്ന ഡാറ്റയും അത് എങ്ങനെ കണക്കാക്കുന്നുവെന്നും മാത്രമേ ഞങ്ങൾ നിങ്ങൾക്ക് കാണിക്കൂ.
healthy,നിങ്ങളുടെ ബാറ്ററി ആരോഗ്യകരമായി നിലനിർത്തുക
double_battery,നിങ്ങളുടെ ബാറ്ററി പൂർണ്ണമായി ചാർജ് ചെയ്യാതെ നിങ്ങളുടെ ബാറ്ററി ലൈഫ് ഇരട്ടിയാക്കുക. ശാസ്ത്രജ്ഞർ അവരുടെ ഗവേഷണത്തിൽ ഇത് തെളിയിച്ചിട്ടുണ്ട്.
charge_limit,ഞങ്ങളുടെ ചാർജ് പരിധി അറിയിപ്പ് ഉപയോഗിച്ച്, ബാറ്ററി ഉപയോക്താവ് നിർവചിച്ച പരിധിയിൽ എത്തുമ്പോൾ ഒരു അറിയിപ്പ് അയയ്‌ക്കും.
smart,ഓരോ ദിവസവും അത് കൂടുതൽ സ്മാർട്ടാകുന്നു
analyze,നിങ്ങൾ എത്ര നേരം ബാറ്ററി മാനേജർ ലൈറ്റ് ഉപയോഗിക്കുന്നുവോ അത്രയും മികച്ചതാണ് നിങ്ങളുടെ ബാറ്ററിയുടെ പ്രകടനം വിശകലനം ചെയ്യുന്നത്.
update_every_time,നിങ്ങൾ ഉപകരണം ഉപയോഗിക്കുമ്പോഴോ ചാർജ്ജ് ചെയ്യുമ്പോഴോ ശേഷിക്കുന്ന ബാറ്ററി ലൈഫ് അളക്കൽ അപ്‌ഡേറ്റ് ചെയ്യപ്പെടും.
runtime,നിങ്ങളുടെ ബാറ്ററിയുടെ യഥാർത്ഥ റൺടൈം കണ്ടെത്തുക
discharge_cycle,ഓരോ തവണയും നിങ്ങളുടെ ഫോൺ ഡിസ്ചാർജ് സൈക്കിളിലൂടെ കടന്നുപോകുമ്പോൾ, അതിന്റെ റൺടൈമിന്റെ കൃത്യമായ കണക്ക് അളക്കാൻ കഴിയും.
accurate_life,കൃത്യമായ ബാറ്ററി ലൈഫ് അളക്കാൻ ബാറ്ററി മാനേജർ ലൈറ്റ് ഉപയോഗിക്കുക.
no_exit,ബാറ്ററി മാനേജർ ലൈറ്റിൽ നിന്ന് പുറത്തുകടക്കരുത്!
bg_require,ബാറ്ററി മാനേജർ ലൈറ്റിന് ബാറ്ററി സ്ഥിതിവിവരക്കണക്കുകൾ ശേഖരിക്കാനും ബാറ്ററി ചാർജും ഡിസ്ചാർജ് സമയവും അളക്കാനും ഒരു പശ്ചാത്തല സേവനം ആവശ്യമാണ്. ആപ്പ് അടയ്‌ക്കുമ്പോൾ നിങ്ങളുടെ ഉപകരണം സേവനം നിർത്തുകയോ പ്രവർത്തിക്കാൻ അനുവദിക്കാതിരിക്കുകയോ ചെയ്‌തേക്കാം. ഇത് ഒഴിവാക്കാൻ, ഞങ്ങൾ നിങ്ങൾക്കായി ഒരു നല്ല പരിഹാരം ഉണ്ട്. ലിങ്കിൽ ക്ലിക്ക് ചെയ്താൽ മതി.
man,മാനുവൽ
