title,Oluṣakoso Batiri Lite yatọ
extend_life,Ọna ti o dara julọ lati fa igbesi aye batiri pọ si ati jẹ ki o ni ilera da lori iriri ati iwadii imọ-jinlẹ.
measured,Ni ọna ti o han gbangba a fihan ọ nikan data ti o niwọn gangan ati bii o ṣe ṣe iṣiro.
healthy,Jeki batiri rẹ ni ilera
double_battery,Ilọpo aye batiri rẹ nipa gbigba agbara ni kikun si batiri rẹ. Awọn onimo ijinlẹ sayensi ti fi idi eyi han ninu iwadi wọn.
charge_limit,Lilo ifitonileti iye owo idiyele wa, ifitonileti kan yoo firanṣẹ nigbati batiri ba de opin ti asọye olumulo.
smart,O ma n ni ijafafa ni gbogbo ọjọ
analyze,Bi o ṣe gun lo Oluṣakoso Batiri Lite, yoo dara julọ ti a yoo ni ni itupalẹ iṣẹ batiri rẹ.
update_every_time,Iwọn igbesi aye batiri ti o ku jẹ imudojuiwọn ni gbogbo igba ti o ba lo tabi gba agbara si ẹrọ rẹ.
runtime,Ṣe afẹri akoko asiko ti batiri rẹ gangan
discharge_cycle,Nigbakugba ti foonu rẹ ba lọ nipasẹ iyipo idasilẹ, iṣiro deede ti akoko asiko rẹ le ṣe iwọn.
accurate_life,Lo Oluṣakoso Batiri Lite lati wiwọn igbesi aye batiri deede.
no_exit,Maṣe jade kuro ni Alakoso Batiri Lite!
bg_require,Oluṣakoso Batiri Lite nilo iṣẹ abẹlẹ lati gba awọn iṣiro batiri ati wiwọn idiyele batiri ati akoko idasilẹ. O ṣee ṣe ki ẹrọ rẹ da iṣẹ naa duro tabi ko gba laaye lati ṣiṣẹ nigbati app ba wa ni pipade. Lati yago fun eyi, a ni kan ti o dara ojutu fun o. O kan tẹ lori ọna asopọ.
man,Afowoyi
cali,Isọdiwọn
polarity,Ni igbesẹ yii, ohun elo naa ṣe iwari polarity gbigba agbara ati agbara apẹrẹ ti batiri rẹ.
disch,Sisọ silẹ
ch_pol,Gbigba agbara polarity
power_meter,Mita agbara
unit_mesure,Unit ti wiwọn
capacity,Agbara Batiri
wrong,Ko tọ?
calib,Ṣe iwọntunwọnsi
ye,Bẹẹni
no,Rara
neg,Odi
pos,Rere
lunch,Ifilọlẹ App
manufac,Agbara ni ibamu si olupese
design_des,Agbara apẹrẹ jẹ agbara batiri gangan, ti wọn ni mAh. Bi ko si ọna osise lati pinnu agbara, iye ti o pada le jẹ aṣiṣe.
correct_it,Ti agbara ifihan ko ba pe, jọwọ ṣe atunṣe.
cancel,Fagilee
ok,O dara
runtime,Batiri Runtime
wait,nduro
per_hr,Lilo batiri fun wakati kan
life_for,Aye batiri fun
battery_cond,Ipo batiri
bat_info,Alaye batiri
bat_cap,Agbara batiri
bat_volt,Batiri foliteji
bat_cur,Batiri lọwọlọwọ
unit_mes,Unit ti wiwọn
done,Ti ṣe
c_bat_temp,Iwọn Batiri lọwọlọwọ
min_bat_tem,Iwọn otutu Batiri to kere julọ
mx_bat_tem,O pọju batiri otutu
avg_bat_tem,Apapọ batiri otutu
dig_last,Ayẹwo ikẹhin ṣaaju
rem_time,Akoko to ku
volt,Foliteji
curr,Lọwọlọwọ
status,Ipo
