title,Батарея менеджери Lite башкача
extend_life,Батареянын иштөө мөөнөтүн узартуунун жана ден соолукту сактоонун эң мыкты жолу тажрыйбага жана илимий изилдөөлөргө негизделген.
measured,Ачык түрдө биз сизге иш жүзүндө өлчөнгөн маалыматтарды жана анын кантип эсептелгенин гана көрсөтөбүз.
healthy,Батареяңызды дени сак сактаңыз
double_battery,Батареяңызды толук заряддабай, батареяңыздын иштөө мөөнөтүн эки эсеге көбөйтүңүз. Муну окумуштуулар өз изилдөөлөрүндө далилдешти.
charge_limit,Батарея колдонуучу аныктаган чекке жеткенде, биздин заряддын чеги тууралуу эскертмебиз аркылуу эскертме жөнөтүлөт.
smart,Бул күн сайын акылдуу болуп баратат
analyze,Battery Manager Lite кызматын канчалык көп колдонсоңуз, батареяңыздын иштешин ошончолук жакшыраак талдайбыз.
update_every_time,Калган батареянын иштөө мөөнөтү сиз аспабыңызды колдонгон сайын же кубаттаган сайын жаңыртылып турат.
runtime,Батареяңыздын чыныгы иштөө убактысын табыңыз
discharge_cycle,Телефонуңуз зарядсыздануу циклинен өткөн сайын анын иштөө убактысын так эсептөөгө болот.
accurate_life,Батареянын иштөө мөөнөтүн так өлчөө үчүн Battery Manager Lite колдонуңуз.
no_exit,Battery Manager Lite программасынан чыкпаңыз!
bg_require,Батарея менеджери Lite батарейканын статистикасын чогултуу жана батарейканын зарядын жана жараксыздык убактысын өлчөө үчүн фондо кызматты талап кылат. Колдонмо жабык болгондо түзмөгүңүз кызматты токтотуп же аны иштетүүгө уруксат бербей жатат окшойт. Мунун алдын алуу үчүн, биз силер үчүн жакшы чечим бар. Жөн гана шилтемени чыкылдатыңыз.
man,Кол
cali,Калибрлөө
polarity,Бул кадамда, колдонмо кубаттоо уюлдуулугун жана батарейканын долбоордук кубаттуулугун аныктайт.
disch,разряд
ch_pol,Заряддоо полярдуулугу
power_meter,Кубат өлчөгүч
unit_mesure,Өлчөө бирдиги
capacity,Батарея сыйымдуулугу
wrong,Туура эмес?
calib,Калибрлөө
ye,Ооба
no,Жок
neg,Терс
pos,Позитивдүү
lunch,Колдонмону ишке киргизүү
manufac,Өндүрүүчүгө ылайык кубаттуулугу
design_des,Долбоордук кубаттуулук - мАч менен ченелген аккумулятордун иш жүзүндөгү кубаттуулугу. Кубаттуулукту аныктоонун расмий жолу жок болгондуктан, кайтарылган маани туура эмес болушу мүмкүн.
correct_it,Көрсөтүлгөн кубаттуулук туура эмес болсо, аны оңдоңуз.
cancel,Жокко чыгаруу
ok,Болуптур
runtime,Батареянын иштөө убактысы
wait,күтүүдө
per_hr,Батареянын керектөө саатына
life_for,үчүн батареянын иштөө мөөнөтү
battery_cond,Батареянын абалы
bat_info,Батарея маалыматы
bat_cap,Батарея сыйымдуулугу
bat_volt,Батарея чыңалуусу
bat_cur,Батарея ток
unit_mes,Өлчөө бирдиги
done,Бүттү
c_bat_temp,Батареянын учурдагы температурасы
min_bat_tem,Батареянын минималдуу температурасы
mx_bat_tem,Батареянын максималдуу температурасы
avg_bat_tem,Батареянын орточо температурасы
dig_last,Буга чейинки акыркы диагноз
rem_time,Калган убакыт
volt,Чыңалуу
curr,Учурдагы
status,Статус
run_time,Иштөө убактысы
currently,Учурда
avg,Орточо
minmal,Минималдуу
maximal,Максималдуу
tool,Куралдар
