title,Battery Manager Lite басқаша
extend_life,Батареяның қызмет ету мерзімін ұзартудың және денсаулығыңызды сақтаудың ең жақсы жолы тәжірибе мен ғылыми зерттеулерге негізделген.
measured,Мөлдір түрде біз сізге тек нақты өлшенген деректерді және оның қалай есептелетінін көрсетеміз.
healthy,Батареяңызды сау ұстаңыз
double_battery,Батареяны толық зарядтамау арқылы батареяның қызмет ету мерзімін екі есе арттырыңыз. Мұны ғалымдар өз зерттеулерінде дәлелдеген.
charge_limit,Зарядтау шектеуі туралы хабарландыруды пайдаланып, батарея пайдаланушы анықтаған шекке жеткенде хабарландыру жіберіледі.
smart,Ол күн сайын ақылды болып келеді
analyze,Battery Manager Lite қолданбасын неғұрлым ұзақ пайдалансаңыз, батареяның өнімділігін соғұрлым жақсырақ талдаймыз.
update_every_time,Қалған батареяның қызмет ету мерзімі құрылғыны пайдаланған сайын немесе зарядтаған сайын жаңартылып отырады.
runtime,Батареяның нақты жұмыс уақытын табыңыз
discharge_cycle,Телефон зарядсыздану циклінен өткен сайын оның жұмыс уақытын дәл бағалауға болады.
accurate_life,Батареяның қызмет ету мерзімін дәл өлшеу үшін Battery Manager Lite пайдаланыңыз.
no_exit,Battery Manager Lite қолданбасынан шықпаңыз!
bg_require,Battery Manager Lite батарея статистикасын жинау және батарея заряды мен зарядсыздану уақытын өлшеу үшін фондық қызметті қажет етеді. Құрылғыңыз қызметті тоқтатуы немесе қолданба жабылған кезде оның іске қосылуына рұқсат бермеуі мүмкін. Бұған жол бермеу үшін бізде сізге жақсы шешім бар. Тек сілтемені басыңыз.
man,Нұсқаулық
cali,Калибрлеу
polarity,Бұл қадамда қолданба зарядтау полярлығын және аккумулятордың жобалық сыйымдылығын анықтайды.
disch,Шығару
ch_pol,Зарядтау полярлығы
power_meter,Қуат өлшегіш
unit_mesure,Өлшем бірлігі
capacity,Батарея сыйымдылығы
wrong,Дұрыс емес?
calib,Калибрлеу
ye,Иә
no,Жоқ
neg,Теріс
pos,Оң
lunch,Қолданбаны іске қосыңыз
manufac,Өндіруші бойынша сыйымдылық
design_des,Жобалық сыйымдылық - мАчпен өлшенетін батареяның нақты сыйымдылығы. Сыйымдылықты анықтаудың ресми жолы болмағандықтан, қайтарылған мән қате болуы мүмкін.
correct_it,Көрсетілген сыйымдылық дұрыс болмаса, оны түзетіңіз.
cancel,Болдырмау
ok,Жақсы
runtime,Батареяның жұмыс уақыты
wait,күту
per_hr,Батареяның сағатына тұтынуы
life_for,Батареяның қызмет ету мерзімі
battery_cond,Батарея жағдайы
bat_info,Батарея туралы ақпарат
bat_cap,Батарея сыйымдылығы
bat_volt,Батарея кернеуі
bat_cur,Батарея тогы
unit_mes,Өлшем бірлігі
done,Дайын
c_bat_temp,Батареяның ағымдағы температурасы
min_bat_tem,Ең төменгі батарея температурасы
mx_bat_tem,Батареяның максималды температурасы
avg_bat_tem,Батареяның орташа температурасы
dig_last,Бұрынғы соңғы диагноз
rem_time,Қалған уақыт
volt,Вольтаж
curr,Ағымдағы
status,Күй
run_time,Жүгіру уақыты
currently,Қазіргі уақытта
avg,Орташа
minmal,Минималды
maximal,Максимум
tool,Құралдар
rem_apps,Қолданбалардың қажетсіз жұмыс істеуін және батареяны зарядтауын болдырмау үшін енді пайдаланбайтын қолданбаларды жойыңыз
uninst_apps,Қолданбаларды жою
stat,Бастау
act_eng_save,Батареяны тұтынуды азайту үшін қуат үнемдеу режимін қосыңыз
pow_save,Қуатты үнемдеу режимі
tempe,Температура
heal,Денсаулық
tips,Батареяны кеңестер мен амалдар арқылы жақсы күйде ұстаңыз.
recomm,Ұсыныстар
prem,Премиум
more_func,Сізге көбірек функциялар. Премиум алыңыз, көбірек алыңыз.
more,Көбірек
ur_cond_bat,Батареяның күйі
ur_bat_life,Батареяңыздың қызмет ету мерзімі
ur_bat_temp,Батареяңыздың температурасы
wow,Өте жақсы
normal,Қалыпты
poor,Нашар
days,Күндер
mins,Минут
hrs,Сағат
chging,Зарядталуда
ful,Толық
dis_chrg,Зарядтау
unkn,Белгісіз
too_lit,Батарея деректері тым аз
car_any,Бәрібір орындаңыз
endz_,Соңы
dig_any,Жақсырақ диагностика нәтижелерін алу үшін қолданба батареяңызды фондық режимде талдауы керек. Диагнозды 24 сағаттан кейін бастаңыз
end_dig,Соңғы диагноз
quit_dig,Диагностикадан шынымен бас тартыңыз
batty_temp,Батарея температурасы
akku_manager,Акку менеджері
u_agree,"START" арқылы сіз деректерді қорғау ережелерімен келісесіз
elemn_opti,Элементтерді оңтайландыруға болады
looks_good,Бәрі жақсы көрінеді
optimize_,Оңтайландыру
toolz_,Құралдар
akku_check,Ақку тексеру
ctrl_load,Бақыланатын жүктеу
mng_apps,Қолданбаларды басқару
infosm,ақпарат
tenzion,кернеу
electy,электр энергиясы
lvl,Деңгей
akku_man_premium,Akku Manager Premium
premimum_highlight,Battery Manager қолданбасын жарнамасыз толығымен пайдаланыңыз және сізде пайдаланушы интерфейсін кеңейтілген теңшеуге қол жеткізе аласыз.
design,Дизайн
subjs,пәндер
genrally,Жалпы
temp_unit,Температура бірлігі
oth_apps,Басқа қолданбалар
dat_protect,Деректерді қорғау
thx_akku,Акку менеджеріне премиум нұсқасын сатып алуға қолдау көрсеткеніңіз үшін рахмет.
user_got_pre,Енді сізде пайдаланушы интерфейсін және жарнамасыз пайдалануды кеңейтілген теңшеуге қол жеткізе аласыз.
exp_more,Болашақ жаңартуларда қосымша мүмкіндіктерді күтуге болады
ap_optimiz,Қолданбаны оңтайландыру
sys_bat_usage,Жүйелік батареяны тұтыну
bat_usage_det,Батареяны пайдалану мәліметтері
end_optiz,Оңтайландыруды аяқтау
abort,Тоқтату
break_up,құлату
scn,сканерлеу
scn_bgh,Экран жарықтығы
dact_wlan,WLAN өшіру
dact_save_batt,Батареяны үнемдеу үшін өшіріңіз
dact,Өшіру
dact_ble,Bluetooth өшіру
red_brigh,Жарықтықты азайтыңыз
bright_txt,Батареяны үнемдеу үшін дисплейдің жарықтығын азайтыңыз
to_reduce,Азайту
dact_gps,GPS өшіру
appz_optimz,Қолданбалар оңтайландырылған
start_bat_check_det,Әрқашан қауіпсіз болу үшін батареяны егжей-тегжейлі тексеруді бастаңыз
act_eng_save,Батареяны тұтынуды азайту үшін қуат үнемдеу режимін қосыңыз
remove_useless,Енді пайдаланылмайтын қолданбаларды жойыңыз
premium,Премиум
clear_mem,Жадты тазарту
clear_mem_des,Смартфоныңыз тез және тегіс жұмыс істеуі үшін.
clenaup,Жинап қою
rat,рейтинг
rat_free,Батарея менеджерін тегін бағалаңыз
sendz,Жіберу
elmn_found,Элементтер табылды
drumz,Барабандар
status,Күй
end_akk_check,Батареяны тексеруді аяқтаңыз
bat_detlz,Батарея туралы мәліметтер
temp_checked,Температура тексеріледі
cond_checked,Батареяның күйі тексеріледі
checkz_start,Батареяны тексеру басталады
plug_in,Қосылған
techz,Технология
coldz,Суық
until,Дейін
well,Жақсы
ovr_heat,Қызып кету
ovr_load,Шамадан тыс жүктеме
renam,атауы өзгертілді
not_def,анықталмаған
chrgz,Зарядтау
full,Толық
unloadz,Түсіру
not_charge_unkn,ақы алынбайды немесе белгісіз
usb,USB флеш
charger,зарядтағыш
wless,сымсыз
not_at_al,мүлде ештеңе
uninstall,Жою
update,Жаңарту үшін
setting,Параметрлер
app,Қолданбалар
not_found,Қолданба табылмады
search,Қолданбаларды іздеу
version_code,Нұсқа коды
api_level,API деңгейі
app_version,Қолданба нұсқасы
authorization,рұқсат
open,ашу
play_store,Ойын дүкені
control,бақылау
systemstandart,Жүйелік стандарт
white,Ақ
dark,Қараңғы
ocean,Мұхит
black,Қара
dark_blue,Қара көк
excellent,Өте жақсы
bad,Нашар
battery_bad,Батарея аздап зақымдалған
very_bad,Өте жаман
battery_damaged,Батарея зақымдалған
custom_mode,Арнаулы режим
brightness,Жарықтық
automatic_brightness,Автоматты жарықтық
normal,Қалыпты
sound_modus,Дыбыс режимі
tone_work,Барлық тондар жұмыс істейді
mute,Дыбысты өшіру
call_note_mute,Қоңыраулар мен хабарландырулардың дыбысы өшіріледі
not_bother,Мазаламау
tones_vibration_mute,Дабыл дыбыстарынан басқа дыбыстар мен дірілдерді өшіріңіз
sound,Дыбыстар
music,музыка
notification,Хабарландыру
alarm,Дабыл
ultra_saving,Ультра энергия үнемдеу режимі
edit,Өңдеу үшін
disable_ultra_saving,Ультра энергия үнемдеу режимін өшіріңіз
min_remaining,мин қалды
hours,сағат
activted_ultra_saving,Ультра энергия үнемдеу режимі қосылды
charged_in,зарядталған
min,мин
limit_power,Қуатты тұтынуды шектеңіз
reduce_screen,Экран жарықтығын азайтыңыз
restrict_bg_act_explain,Фондық әрекеттерді шектеңіз
volatge_check,Кернеу тексеріледі
software_optimized,Бағдарламалық құрал оңтайландырылған
connect_charger,Зарядтағышты қосыңыз
charger_removed,Зарядтағышты алып тастауға болады
power_consump_title,Қуатты тұтыну
srcn_bg_title,Экран жарықтығы
bg_al_activities,Фондық әрекеттер
sftware,Бағдарламалық қамтамасыз ету
get_primium,Егер сіз премиум нұсқасын сатып алсаңыз, сіз барлық ағымдағы функцияларды, сондай-ақ болашақта барлық жаңа функцияларды аласыз.
cuztomize_face,Пайдаланушы интерфейсін теңшеу
comp_scheme,Батарея реттеушісінің түс схемасын әртүрлі тақырыптардан құрастырыңыз.
bat_check_detail,Батареяны егжей-тегжейлі тексеру
check_cond_test,Әрқашан қауіпсіз жақта болу үшін батареяның күйін тексеру үшін Батарея реттеушісін пайдаланыңыз.
no_ads_yo,Жарнама жоқ
use_explain_noads,Battery Manager қолданбасын жарнамасыз пайдаланыңыз
act_energy_save,Төтенше жағдайда батареяның қызмет ету мерзімін ұзарту үшін ультра энергия үнемдеу режимін қосыңыз.
buy_title,Premium сатып алыңыз
loc_title,Орналасқан жері
cap_title,сыйымдылығы
cap_remain,Қалған сыйымдылық
sleepy,Ұйқы
sek,Секундтар
sing_min,Минут
miniotes,Минут
finish,Аяқталды
mobi_data,ұялы деректер
plz_rate,Play Store дүкенінде батарея реттеушісін бағалаңыз
ur_data_cus,Сізге жарнамаларды теңшеу үшін деректеріңізді пайдалануды жалғастыра аламыз ба?
in_slep_mode,Ұйқы режимінде
in_use,Қолдануда
with_curr_pow,Ағымдағы қуат тұтынуымен
rem_bat_life,Қалған батареяның қызмет ету мерзімі
qck_acc,Жылдам қол жеткізу
notif_txt,хабарландыру
notif_at,Хабарландыру
chg_curr,Зарядтау тогы
charge_perm,Зарядтау өнімділігі
maxi_charge_per,Максималды зарядтау өнімділігі
enb_notif,Хабарландыруды қосу
perm_send_notif,Battery Manager хабарландыру жіберу үшін рұқсатты талап етеді, ол құрылғының параметрлерінде белсендірілген болуы керек.
to_set,Параметрлерге
title_autost,Автобастауды іске қосыңыз
auto_explain,Батарея реттеушісі батарея күйін сұрау және хабарландыру жіберу үшін фондық режимде белсенді күйде қалуға рұқсатты қажет етеді.
sync_auto,Автоматты түрде синхрондаңыз
dis_auto_sync,Автоматты синхрондауды өшіру ояту құлыптарын айтарлықтай азайтады. Дегенмен, электрондық поштаны алу сияқты кейбір функциялар жоғалады.
chg_lim,Заряд лимиті
avoid_ful_explain,Батареяны максималды зарядтасаңыз немесе оны өшіргенше зарядсыздандырсаңыз, батареяның күйі мен қызмет ету мерзімі қысқарады. Төменде батареяның ең аз және максималды зарядтау немесе разряд күйін орнатуға болады және шекті мәнге жеткен сайын сізге хабарланады. Батареяны толық зарядтаудан және зарядсыздандырудан аулақ болыңыз және батареяның қызмет ету мерзімін ұзартыңыз.
rec_notif,Хабарлама алынған жоқ па?
title_allow_bg_act,Фондық әрекетке рұқсат ету
allow_bg_act,Батарея реттеушісін операциялық жүйе байқаусызда жабусыз шектеусіз пайдалана алуыңыз үшін параметрлерде батареяны басқару және батареяны пайдалану үшін арнайы функцияларды өшіру қажет болуы мүмкін. Өйткені әртүрлі өндірушілер қолданылатын операциялық жүйеге байланысты бұл опцияларды белгілеуде ерекшеленеді. Қолданба туралы ақпарат аймағында Ұйқы режимі немесе Батарея астынан Шектеу жоқ немесе Фондық әрекетке рұқсат беру опциясын таңдаңыз.
dev_usage,Құрылғыны пайдалану
